system:index,date,municipio,ndvi_mean,.geo
1_00000000000000000014,2005-02-01,Salamina,0.6571930742165105,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000015,2005-02-01,Samana,0.4479627197791897,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000016,2005-02-01,San Jose,0.7474059515144843,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000017,2005-02-01,Supia,0.7427170606327774,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000018,2005-02-01,Victoria,0.7074727089423867,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_00000000000000000019,2005-02-01,Villamaria,0.49778225029763085,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_0000000000000000001a,2005-02-01,Viterbo,0.7548565214982759,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000000,2005-03-01,Aguadas,0.7359689184835436,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000001,2005-03-01,Anserma,0.7161545289975337,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000002,2005-03-01,Aranzazu,0.7479814724931129,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000003,2005-03-01,Belalcazar,0.7170783292322953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000004,2005-03-01,Chinchina,0.7656065179285905,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000005,2005-03-01,Filadelfia,0.7178971190515351,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000006,2005-03-01,La Dorada,0.6694125046588969,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000007,2005-03-01,La Merced,0.7398471103106665,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000008,2005-03-01,Manizales,0.7172693292475579,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000009,2005-03-01,Manzanares,0.7132089928611953,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000a,2005-03-01,Marmato,0.6682777399870775,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000b,2005-03-01,Marquetalia,0.7077837591064928,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000c,2005-03-01,Marulanda,0.6276922464039961,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000d,2005-03-01,Neira,0.7176849053685549,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000e,2005-03-01,Norcasia,0.7685817933974671,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000000f,2005-03-01,Pacora,0.7708903878317582,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000010,2005-03-01,Palestina,0.7723560730849182,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000011,2005-03-01,Pensilvania,0.6013138237750107,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000012,2005-03-01,Riosucio,0.7519184426578028,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000013,2005-03-01,Risaralda,0.7085989755630232,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000014,2005-03-01,Salamina,0.7552792513709959,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000015,2005-03-01,Samana,0.6107702550474334,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000016,2005-03-01,San Jose,0.6923017727664349,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000017,2005-03-01,Supia,0.7253734370992714,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000018,2005-03-01,Victoria,0.7768003924305558,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_00000000000000000019,2005-03-01,Villamaria,0.5811625707505623,"{""type"":""MultiPoint"",""coordinates"":[]}"
2_0000000000000000001a,2005-03-01,Viterbo,0.731792795709905,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000000,2005-04-01,Aguadas,0.6839114120336292,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000001,2005-04-01,Anserma,0.7359085208896479,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000002,2005-04-01,Aranzazu,0.5727245985394211,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000003,2005-04-01,Belalcazar,0.7333958270477295,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000004,2005-04-01,Chinchina,0.7449261715729253,"{""type"":""MultiPoint"",""coordinates"":[]}"
3_00000000000000000005,2005-04-01,Filadelfia,0.66784797647818,"{""type"":""MultiPoint"",""coordinates"":[]}"
