Region,Mes,PDSI,aet,def,pet,ppt,q,soil,srad,swe,tmax,tmin,vap,vpd,ws
Caldas,2015-03,0.988051575931233,106.16934097421203,0.0,106.16934097421203,213.3702005730659,93.92034383954156,54.104871060171924,202.96160458452724,0.0011461318051575933,24.396790830945562,16.02214899713467,1.9908968481375358,0.5929799426934098,1.1011461318051576
Caldas,2015-04,-0.5444412607449848,103.28739255014328,0.0,103.28739255014328,194.01260744985674,90.6567335243553,54.173638968481384,206.01747851002867,0.0011461318051575933,24.362005730659025,15.906704871060173,2.042077363896848,0.5348710601719198,1.1430945558739254
Caldas,2015-05,-1.5333237822349561,102.13467048710602,0.34699140401146134,102.48166189111747,132.8352435530086,31.293123209169057,53.58051575931233,198.38567335243556,0.0002865329512893983,24.502664756446993,15.802550143266478,2.0280085959885388,0.5516332378223496,1.041375358166189
Caldas,2015-06,-2.1866189111747842,73.80315186246419,19.635816618911175,93.43896848137535,50.14183381088825,2.5054441260744986,27.41604584527221,185.53982808022923,0.0,24.255501432664758,15.886446991404014,1.9934699140401146,0.571432664756447,1.103438395415473
Caldas,2015-07,-2.2039541547277928,88.12836676217766,6.230659025787966,94.35902578796562,94.97392550143267,5.460744985673353,28.798567335243554,176.36676217765046,0.000859598853868195,24.90203438395416,16.361833810888253,2.002091690544413,0.6651002865329513,1.1220916905444127
Caldas,2015-08,-2.4722922636103144,101.376217765043,2.8868194842406876,104.26303724928367,122.52148997134671,13.710888252148997,36.22578796561605,192.52779369627507,0.0002865329512893983,25.683868194842407,16.18627507163324,2.014816618911175,0.7234957020057307,1.284297994269341
Caldas,2015-09,-2.9761604584527217,108.51002865329512,1.643839541547278,110.15386819484242,127.13323782234957,16.13409742120344,38.72263610315186,217.50487106017192,0.0,25.32601719197708,15.869627507163326,2.016888252148997,0.6532951289398281,1.228166189111748
Caldas,2015-10,-3.6643553008595977,100.35845272206303,0.0,100.35845272206303,219.90401146131805,104.09713467048711,54.173638968481384,193.05730659025787,0.0011461318051575933,24.03934097421204,15.523180515759316,1.9807650429799428,0.536189111747851,1.0959885386819483
Caldas,2015-11,-3.8618051575931225,91.72750716332379,0.0,91.72750716332379,194.42636103151864,102.69942693409742,54.173638968481384,191.03667621776506,0.0005730659025787966,23.218595988538684,16.520429799426935,2.0938739255014327,0.4043839541547278,1.0263323782234957
Caldas,2015-12,-4.338424068767908,73.79025787965617,28.852722063037252,102.64297994269342,44.83037249283668,2.240974212034384,22.977936962750718,205.8578796561605,0.0,24.861547277936964,15.448567335243556,2.0273610315186246,0.562865329512894,1.2851002865329513
Caldas,2016-01,-4.4656160458452705,84.46418338108883,22.044126074498568,106.5083094555874,86.38825214899714,4.672492836676218,20.22808022922636,212.80458452722064,0.0,25.58022922636103,16.1163323782235,2.046704871060172,0.672836676217765,1.0962464183381089
