Region,Mes,NDVI_mensual
Sierra Nevada,2015-09,0.7372030640849876
Sierra Nevada,2015-08,0.7187439061328867
Sierra Nevada,2015-07,0.693676182946186
Sierra Nevada,2015-06,0.6849093835228145
Sierra Nevada,2015-05,0.6065789924043798
Sierra Nevada,2015-04,0.5613080829021406
Sierra Nevada,2015-03,0.5878685285109617
Sierra Nevada,2015-02,0.6528672152104139
Sierra Nevada,2015-01,0.7114963741144859
Caldas,2025-10,0.6224414848244687
Caldas,2025-09,0.6925299007836461
Caldas,2025-08,0.7388055362183215
Caldas,2025-07,0.7301444904566086
Caldas,2025-06,0.7532944829149563
Caldas,2025-05,0.7189488272048329
Caldas,2025-04,0.6059046552004577
Caldas,2025-03,0.6014373083185999
Caldas,2025-02,0.411144910774351
Caldas,2025-01,0.68908254379844
Caldas,2024-12,0.6290535542753272
Caldas,2024-11,0.515115918537408
Caldas,2024-10,0.6163366099492452
Caldas,2024-09,0.7046653553817595
Caldas,2024-08,0.7795322614922979
Caldas,2024-07,0.7328868797602542
Caldas,2024-06,0.6612709684806414
Caldas,2024-05,0.7293452646919611
Caldas,2024-04,0.6310924624628432
Caldas,2024-03,0.5563227269022092
Caldas,2024-02,0.6839730327147925
Caldas,2024-01,0.7398454223973456
Caldas,2023-12,0.6488993733797758
Caldas,2023-11,0.6804255190349778
Caldas,2023-10,0.6072954422292048
Caldas,2023-09,0.6675024858319222
Caldas,2023-08,0.7243930228084273
Caldas,2023-07,0.7529276489619573
Caldas,2023-06,0.7467743321642293
Caldas,2023-05,0.627492060676747
Caldas,2023-04,0.653470430158415
Caldas,2023-03,0.6200059578183631
Caldas,2023-02,0.6103890435257888
Caldas,2023-01,0.6591409241569376
Caldas,2022-12,0.5415550932718125
Caldas,2022-11,0.5481466417224403
Caldas,2022-10,0.41279830942846857
Caldas,2022-09,0.5502484922561977
Caldas,2022-08,0.6293603059878223
Caldas,2022-07,0.6586219087015278
Caldas,2022-06,0.5581124861007019
Caldas,2022-05,0.48618197069532365
Caldas,2022-04,0.5698960361254325
Caldas,2022-03,0.564583499757462
Caldas,2022-02,0.501087386054037
Caldas,2022-01,0.5754626555064438
Caldas,2021-12,0.5043130784420189
Caldas,2021-11,0.5479842773103518
Caldas,2021-10,0.5763275964067777
Caldas,2021-09,0.6980982784569341
Caldas,2021-08,0.6234672994613435
Caldas,2021-07,0.6945367404207206
Caldas,2021-06,0.6546776623895325
Caldas,2021-05,0.5847599084562622
Caldas,2021-04,0.5843522714736491
Caldas,2021-03,0.5183119614190046
Caldas,2021-02,0.5644905677317874
Caldas,2021-01,0.6570457047590091
Caldas,2020-12,0.5494427220162599
Caldas,2020-11,0.6339738423303645
Caldas,2020-10,0.5726028412455355
Caldas,2020-09,0.6519437360237919
Caldas,2020-08,0.6126489445940217
Caldas,2020-07,0.6932613262562329
Caldas,2020-06,0.6645682973458942
Caldas,2020-05,0.6542856422617195
Caldas,2020-04,0.5495028647877143
Caldas,2020-03,0.6224046701932545
Caldas,2020-02,0.7004399345837193
Caldas,2020-01,0.7164192778936234
Caldas,2019-12,0.5949412343427004
Caldas,2019-11,0.5970458064683273
Caldas,2019-10,0.5625907041268372
Caldas,2019-09,0.5469767470007256
Caldas,2019-08,0.6926348777317956
Caldas,2019-07,0.7034313534496784
Caldas,2019-06,0.7150568428458653
Caldas,2019-05,0.5986754519320786
Caldas,2019-04,0.6015506001514572
Caldas,2019-03,0.4935673630725346
Caldas,2019-02,0.5844575911950083
Caldas,2019-01,0.729955017763281
Caldas,2018-12,0.6899239472266778
Caldas,2018-11,0.5553584772675075
Caldas,2018-10,0.5299011736468481
Caldas,2018-09,0.6313825125685805
Caldas,2018-08,0.6797807929459013
Caldas,2018-07,0.6815561265692672
Caldas,2018-06,0.6638361460791474
Caldas,2018-05,0.6243258657531789
Caldas,2018-04,0.6126439500687155
Caldas,2018-03,0.6080046411895373
Caldas,2018-02,0.5891275754582381
Caldas,2018-01,0.6459143538298191
Caldas,2017-12,0.6618815414646505
Caldas,2017-11,0.524978164976379
Caldas,2017-10,0.5835538377802566
Caldas,2017-09,0.6179354509467064
Caldas,2017-08,0.7291223242376761
Caldas,2017-07,0.6664420108498281
Caldas,2017-06,0.6424134080028902
Caldas,2017-05,0.6757413158170226
Caldas,2017-04,0.536162631346692
Caldas,2017-03,0.546124674908534
Caldas,2017-02,0.6919819582412614
Caldas,2017-01,0.6180179843468419
Caldas,2016-12,0.5840535595817078
Caldas,2016-11,0.6884727407142901
Caldas,2016-10,0.505400338891354
Caldas,2016-09,0.6351089689434526
Caldas,2016-08,0.6593102134162637
Caldas,2016-07,0.61880728909089
Caldas,2016-06,0.7094854535082522
Caldas,2016-05,0.6670065499048967
Caldas,2016-04,0.5305561345832209
Caldas,2016-03,0.5578192866392273
Caldas,2016-02,0.45121577606381036
Caldas,2016-01,0.6660967780615904
Caldas,2015-12,0.7360767254078471
Caldas,2015-11,0.6084403977092369
Caldas,2015-10,0.5305502723808457
Caldas,2015-09,0.6413256516884812
Caldas,2015-08,0.6751645982314848
Caldas,2015-07,0.6797320205488674
Caldas,2015-06,0.7432211098021799
Caldas,2015-05,0.6042294082931482
Caldas,2015-04,0.6730028989905794
Caldas,2015-03,0.5510575423560474
Caldas,2015-02,0.6025963530017874
Caldas,2015-01,0.6661990638731882
