cluster,n_obs,r2_cv,r2_train,mae_train,rendimiento_promedio,rendimiento_predicho_promedio
0,36,-7.603874659694337,0.21352502514268212,0.18519683254259733,1.0672222222222219,1.0672222222222216
1,162,-0.15825981610525447,0.21142468118436342,0.1961508022571698,1.1500617283950618,1.1500617283950618
2,198,-0.5155678690186087,0.17106184060744878,0.18207759995414913,1.190808080808081,1.190808080808081
3,54,-1.2328033151670013,0.5036230968801341,0.10788892680423358,1.0742592592592595,1.0742592592592595
