riesgo,n,rendimiento_promedio,rendimiento_mediano,indice_promedio,payout_promedio,tasa_evento_perdida
Alto,274,1.0646350364963504,1.05,-0.6157964926643091,0.399285614995729,0.4562043795620438
Bajo,135,1.3145185185185186,1.27,1.1738399989559183,0.0,0.16296296296296298
Medio,41,1.2036585365853658,1.19,0.2502399788041893,0.0,0.12195121951219512
