municipio,anio,area_ha,cluster,tipo_estimacion,rendimiento_real_t_ha,rendimiento_esperado_t_ha,produccion_esperada_t,precio_USD_ton,indice_riesgo,nivel_riesgo,probabilidad_perdida,payout,monto_asegurado_USD,prima_pura_USD,prima_comercial_USD,indemnizacion_estimada_USD
AGUADAS,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.1811737102531923,Medio,0.44876325088339225,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
AGUADAS,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9149317419262125,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
AGUADAS,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9149317419262125,Bajo,0.37467018469656993,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
ANSERMA,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.262742978879625,Medio,0.4377104377104377,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
ANSERMA,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.034708086838076,Alto,0.4549019607843137,0.021100732518167742,7857.467717333333,1910.312065270934,2483.4056848522146,165.79832457358873
ANSERMA,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.034708086838076,Alto,0.4549019607843137,0.021100732518167742,7857.467717333333,1910.312065270934,2483.4056848522146,165.79832457358873
ARANZAZU,2025,1.0,1,futura,,1.1522666666666666,1.1522666666666666,7997.76,0.30509231592134906,Medio,0.42483660130718953,0.0,9215.552255999999,2240.49035848234,2912.6374660270426,0.0
ARANZAZU,2026,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9819400706678214,Bajo,0.3723958333333333,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
ARANZAZU,2027,1.0,1,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.9521172738118469,Bajo,0.3717277486910995,0.0,7857.467717333333,1910.312065270934,2483.4056848522146,0.0
BELALCÁZAR,2025,1.0,2,futura,,1.1522666666666666,1.1522666666666666,7997.76,-0.019183385900370015,Alto,0.45934959349593496,0.04177016865370807,9215.552255999999,2240.49035848234,2912.6374660270426,384.93517197017985
BELALCÁZAR,2026,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.07854948517653935,Alto,0.4490566037735849,0.007212625982822298,7857.467717333333,1910.312065270934,2483.4056848522146,56.672975817225804
BELALCÁZAR,2027,1.0,2,futura,,1.1522666666666666,1.1522666666666666,6819.14,0.07854948517653935,Alto,0.4490566037735849,0.007212625982822298,7857.467717333333,1910.312065270934,2483.4056848522146,56.672975817225804
