threshold,TP,TN,FP,FN,TPR,FPR,FN_rate,FP_rate,score,youden
-2.3936522821526784,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.3615195000260365,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.3293867178993946,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.2972539357727526,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.265121153646111,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.232988371519469,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.200855589392827,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.1687228072661853,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.1365900251395433,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.1044572430129014,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.07232446088626,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.040191678759618,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-2.008058896632976,1,298,0,151,0.006578947368421052,0.0,0.33555555555555555,0.0,0.6711111111111111,0.006578947368421052
-1.975926114506334,2,297,1,150,0.013157894736842105,0.003355704697986577,0.3333333333333333,0.0022222222222222222,0.6688888888888889,0.009802190038855527
-1.943793332379692,2,297,1,150,0.013157894736842105,0.003355704697986577,0.3333333333333333,0.0022222222222222222,0.6688888888888889,0.009802190038855527
-1.9116605502530504,2,297,1,150,0.013157894736842105,0.003355704697986577,0.3333333333333333,0.0022222222222222222,0.6688888888888889,0.009802190038855527
-1.8795277681264084,2,297,1,150,0.013157894736842105,0.003355704697986577,0.3333333333333333,0.0022222222222222222,0.6688888888888889,0.009802190038855527
-1.8473949859997667,3,297,1,149,0.019736842105263157,0.003355704697986577,0.33111111111111113,0.0022222222222222222,0.6644444444444445,0.01638113740727658
-1.8152622038731248,4,297,1,148,0.02631578947368421,0.003355704697986577,0.3288888888888889,0.0022222222222222222,0.66,0.022960084775697633
-1.7831294217464828,4,297,1,148,0.02631578947368421,0.003355704697986577,0.3288888888888889,0.0022222222222222222,0.66,0.022960084775697633
-1.7509966396198409,4,296,2,148,0.02631578947368421,0.006711409395973154,0.3288888888888889,0.0044444444444444444,0.6622222222222223,0.019604380077711054
-1.718863857493199,5,294,4,147,0.03289473684210526,0.013422818791946308,0.32666666666666666,0.008888888888888889,0.6622222222222222,0.01947191805015895
-1.6867310753665572,5,293,5,147,0.03289473684210526,0.016778523489932886,0.32666666666666666,0.011111111111111112,0.6644444444444444,0.016116213352172375
-1.6545982932399153,7,292,6,145,0.046052631578947366,0.020134228187919462,0.32222222222222224,0.013333333333333334,0.6577777777777778,0.025918403391027904
-1.6224655111132735,8,291,7,144,0.05263157894736842,0.02348993288590604,0.32,0.015555555555555555,0.6555555555555556,0.029141646061462377
-1.5903327289866316,9,291,7,143,0.05921052631578947,0.02348993288590604,0.31777777777777777,0.015555555555555555,0.6511111111111111,0.03572059342988343
-1.5581999468599896,9,290,8,143,0.05921052631578947,0.026845637583892617,0.31777777777777777,0.017777777777777778,0.6533333333333333,0.03236488873189686
-1.5260671647333477,10,290,8,142,0.06578947368421052,0.026845637583892617,0.31555555555555553,0.017777777777777778,0.6488888888888888,0.0389438361003179
-1.493934382606706,11,290,8,141,0.07236842105263158,0.026845637583892617,0.31333333333333335,0.017777777777777778,0.6444444444444445,0.04552278346873896
-1.461801600480064,14,289,9,138,0.09210526315789473,0.030201342281879196,0.30666666666666664,0.02,0.6333333333333333,0.06190392087601554
-1.4296688183534223,14,288,10,138,0.09210526315789473,0.03355704697986577,0.30666666666666664,0.022222222222222223,0.6355555555555555,0.05854821617802896
-1.3975360362267804,16,287,11,136,0.10526315789473684,0.03691275167785235,0.3022222222222222,0.024444444444444446,0.6288888888888889,0.06835040621688449
-1.3654032541001384,17,287,11,135,0.1118421052631579,0.03691275167785235,0.3,0.024444444444444446,0.6244444444444445,0.07492935358530554
-1.3332704719734965,17,287,11,135,0.1118421052631579,0.03691275167785235,0.3,0.024444444444444446,0.6244444444444445,0.07492935358530554
-1.3011376898468547,17,287,11,135,0.1118421052631579,0.03691275167785235,0.3,0.024444444444444446,0.6244444444444445,0.07492935358530554
-1.2690049077202128,17,287,11,135,0.1118421052631579,0.03691275167785235,0.3,0.024444444444444446,0.6244444444444445,0.07492935358530554
-1.2368721255935708,20,285,13,132,0.13157894736842105,0.0436241610738255,0.29333333333333333,0.028888888888888888,0.6155555555555555,0.08795478629459555
-1.2047393434669291,24,285,13,128,0.15789473684210525,0.0436241610738255,0.28444444444444444,0.028888888888888888,0.5977777777777777,0.11427057576827976
-1.1726065613402872,26,282,16,126,0.17105263157894737,0.053691275167785234,0.28,0.035555555555555556,0.5955555555555556,0.11736135641116213
-1.1404737792136452,26,281,17,126,0.17105263157894737,0.05704697986577181,0.28,0.03777777777777778,0.5977777777777779,0.11400565171317556
-1.1083409970870033,27,279,19,125,0.17763157894736842,0.06375838926174497,0.2777777777777778,0.042222222222222223,0.5977777777777779,0.11387318968562345
-1.0762082149603616,31,278,20,121,0.20394736842105263,0.06711409395973154,0.2688888888888889,0.044444444444444446,0.5822222222222222,0.1368332744613211
-1.0440754328337196,32,278,20,120,0.21052631578947367,0.06711409395973154,0.26666666666666666,0.044444444444444446,0.5777777777777777,0.14341222182974211
-1.0119426507070777,34,276,22,118,0.2236842105263158,0.0738255033557047,0.26222222222222225,0.04888888888888889,0.5733333333333334,0.1498587071706111
-0.979809868580436,36,275,23,116,0.23684210526315788,0.07718120805369127,0.2577777777777778,0.051111111111111114,0.5666666666666667,0.1596608972094666
-0.947677086453794,37,272,26,115,0.24342105263157895,0.087248322147651,0.25555555555555554,0.057777777777777775,0.5688888888888889,0.15617273048392794
-0.9155443043271521,38,267,31,114,0.25,0.1040268456375839,0.25333333333333335,0.06888888888888889,0.5755555555555556,0.1459731543624161
-0.8834115222005103,41,264,34,111,0.26973684210526316,0.11409395973154363,0.24666666666666667,0.07555555555555556,0.5688888888888889,0.15564288237371954
-0.8512787400738684,46,263,35,106,0.3026315789473684,0.1174496644295302,0.23555555555555555,0.07777777777777778,0.5488888888888889,0.18518191451783822
-0.8191459579472264,50,258,40,102,0.32894736842105265,0.1342281879194631,0.22666666666666666,0.08888888888888889,0.5422222222222222,0.19471918050158957
-0.7870131758205847,52,257,41,100,0.34210526315789475,0.13758389261744966,0.2222222222222222,0.09111111111111111,0.5355555555555556,0.20452137054044509
-0.7548803936939428,56,253,45,96,0.3684210526315789,0.15100671140939598,0.21333333333333335,0.1,0.5266666666666667,0.21741434122218295
-0.7227476115673008,59,250,48,93,0.3881578947368421,0.1610738255033557,0.20666666666666667,0.10666666666666667,0.52,0.2270840692334864
-0.6906148294406591,60,248,50,92,0.39473684210526316,0.16778523489932887,0.20444444444444446,0.1111111111111111,0.52,0.2269516072059343
-0.6584820473140172,64,242,56,88,0.42105263157894735,0.18791946308724833,0.19555555555555557,0.12444444444444444,0.5155555555555555,0.23313316849169902
-0.6263492651873752,67,240,58,85,0.4407894736842105,0.19463087248322147,0.18888888888888888,0.1288888888888889,0.5066666666666666,0.24615860120098904
-0.5942164830607335,69,239,59,83,0.45394736842105265,0.19798657718120805,0.18444444444444444,0.13111111111111112,0.5,0.2559607912398446
-0.5620837009340915,73,235,63,79,0.48026315789473684,0.21140939597315436,0.17555555555555555,0.14,0.4911111111111111,0.2688537619215825
-0.5299509188074496,74,233,65,78,0.4868421052631579,0.2181208053691275,0.17333333333333334,0.14444444444444443,0.4911111111111111,0.2687212998940304
-0.49781813668080765,75,231,67,77,0.4934210526315789,0.22483221476510068,0.1711111111111111,0.14888888888888888,0.49111111111111105,0.26858883786647825
-0.46568535455416593,76,227,71,76,0.5,0.23825503355704697,0.1688888888888889,0.15777777777777777,0.4955555555555555,0.26174496644295303
-0.433552572427524,77,221,77,75,0.506578947368421,0.25838926174496646,0.16666666666666666,0.1711111111111111,0.5044444444444445,0.24818968562345456
-0.40141979030088204,80,218,80,72,0.5263157894736842,0.2684563758389262,0.16,0.17777777777777778,0.49777777777777776,0.257859413634758
-0.3692870081742403,83,214,84,69,0.5460526315789473,0.28187919463087246,0.15333333333333332,0.18666666666666668,0.4933333333333333,0.2641734369480749
-0.33715422604759837,87,211,87,65,0.5723684210526315,0.29194630872483224,0.14444444444444443,0.19333333333333333,0.4822222222222222,0.2804221123277993
-0.3050214439209564,91,204,94,61,0.5986842105263158,0.31543624161073824,0.13555555555555557,0.2088888888888889,0.48000000000000004,0.2832479689155776
-0.2728886617943145,95,201,97,57,0.625,0.32550335570469796,0.12666666666666668,0.21555555555555556,0.4688888888888889,0.29949664429530204
-0.24075587966767253,97,195,103,55,0.6381578947368421,0.34563758389261745,0.12222222222222222,0.2288888888888889,0.47333333333333333,0.2925203108442247
-0.20862309754103103,98,193,105,54,0.6447368421052632,0.3523489932885906,0.12,0.23333333333333334,0.47333333333333333,0.29238784881667257
-0.1764903154143891,99,188,110,53,0.6513157894736842,0.3691275167785235,0.11777777777777777,0.24444444444444444,0.48,0.28218827269516067
-0.14435753328774714,103,180,118,49,0.6776315789473685,0.3959731543624161,0.10888888888888888,0.26222222222222225,0.48,0.2816584245849524
-0.1122247511611052,103,177,121,49,0.6776315789473685,0.40604026845637586,0.10888888888888888,0.2688888888888889,0.4866666666666667,0.2715913104909926
-0.08009196903446325,107,173,125,45,0.7039473684210527,0.41946308724832215,0.1,0.2777777777777778,0.4777777777777778,0.2844842811727305
-0.047959186907821305,110,167,131,42,0.7236842105263158,0.4395973154362416,0.09333333333333334,0.2911111111111111,0.47777777777777775,0.28408689509007423
-0.015826404781179804,113,165,133,39,0.743421052631579,0.4463087248322148,0.08666666666666667,0.29555555555555557,0.4688888888888889,0.2971123277993642
0.016306377345462142,115,162,136,37,0.756578947368421,0.4563758389261745,0.08222222222222222,0.3022222222222222,0.4666666666666667,0.3002031084422465
0.04843915947210409,118,155,143,34,0.7763157894736842,0.4798657718120805,0.07555555555555556,0.31777777777777777,0.4688888888888889,0.29645001766160367
0.08057194159874603,119,152,146,33,0.7828947368421053,0.4899328859060403,0.07333333333333333,0.3244444444444444,0.4711111111111111,0.292961850936065
0.11270472372538798,125,149,149,27,0.8223684210526315,0.5,0.06,0.33111111111111113,0.45111111111111113,0.3223684210526315
0.14483750585202992,126,147,151,26,0.8289473684210527,0.5067114093959731,0.057777777777777775,0.33555555555555555,0.45111111111111113,0.3222359590250795
0.17697028797867187,127,143,155,25,0.8355263157894737,0.5201342281879194,0.05555555555555555,0.34444444444444444,0.45555555555555555,0.31539208760155424
0.20910307010531337,128,138,160,24,0.8421052631578947,0.5369127516778524,0.05333333333333334,0.35555555555555557,0.46222222222222226,0.30519251148004234
0.24123585223195532,130,134,164,22,0.8552631578947368,0.5503355704697986,0.04888888888888889,0.36444444444444446,0.46222222222222226,0.3049275874249382
0.27336863435859726,130,130,168,22,0.8552631578947368,0.5637583892617449,0.04888888888888889,0.37333333333333335,0.47111111111111115,0.2915047686329919
0.3055014164852392,130,122,176,22,0.8552631578947368,0.5906040268456376,0.04888888888888889,0.39111111111111113,0.48888888888888893,0.2646591310490992
0.33763419861188115,130,120,178,22,0.8552631578947368,0.5973154362416108,0.04888888888888889,0.39555555555555555,0.49333333333333335,0.25794772165312607
0.3697669807385231,130,116,182,22,0.8552631578947368,0.610738255033557,0.04888888888888889,0.40444444444444444,0.5022222222222222,0.24452490286117978
0.4018997628651646,130,112,186,22,0.8552631578947368,0.6241610738255033,0.04888888888888889,0.41333333333333333,0.5111111111111111,0.2311020840692335
0.43403254499180655,130,107,191,22,0.8552631578947368,0.6409395973154363,0.04888888888888889,0.42444444444444446,0.5222222222222223,0.21432356057930058
0.4661653271184485,130,102,196,22,0.8552631578947368,0.6577181208053692,0.04888888888888889,0.43555555555555553,0.5333333333333333,0.19754503708936766
0.49829810924509044,131,95,203,21,0.8618421052631579,0.6812080536912751,0.04666666666666667,0.45111111111111113,0.5444444444444445,0.18063405157188273
0.5304308913717324,133,91,207,19,0.875,0.6946308724832215,0.042222222222222223,0.46,0.5444444444444445,0.18036912751677847
0.5625636734983743,134,90,208,18,0.881578947368421,0.697986577181208,0.04,0.4622222222222222,0.5422222222222222,0.18359237018721297
0.5946964556250158,134,86,212,18,0.881578947368421,0.7114093959731543,0.04,0.4711111111111111,0.5511111111111111,0.17016955139526668
0.6268292377516578,134,84,214,18,0.881578947368421,0.7181208053691275,0.04,0.47555555555555556,0.5555555555555556,0.16345814199929354
0.6589620198782997,136,79,219,16,0.8947368421052632,0.7348993288590604,0.035555555555555556,0.4866666666666667,0.5577777777777778,0.15983751324620277
0.6910948020049417,136,77,221,16,0.8947368421052632,0.7416107382550335,0.035555555555555556,0.4911111111111111,0.5622222222222222,0.15312610385022962
0.7232275841315836,138,75,223,14,0.9078947368421053,0.7483221476510067,0.03111111111111111,0.4955555555555556,0.5577777777777778,0.15957258919109862
0.7553603662582256,138,69,229,14,0.9078947368421053,0.7684563758389261,0.03111111111111111,0.5088888888888888,0.571111111111111,0.1394383610031792
0.7874931483848675,139,67,231,13,0.9144736842105263,0.7751677852348994,0.028888888888888888,0.5133333333333333,0.5711111111111111,0.13930589897562695
0.819625930511509,141,64,234,11,0.9276315789473685,0.785234899328859,0.024444444444444446,0.52,0.5688888888888889,0.14239667961850944
0.851758712638151,141,64,234,11,0.9276315789473685,0.785234899328859,0.024444444444444446,0.52,0.5688888888888889,0.14239667961850944
0.8838914947647929,142,63,235,10,0.9342105263157895,0.7885906040268457,0.022222222222222223,0.5222222222222223,0.5666666666666667,0.14561992228894383
0.9160242768914348,142,60,238,10,0.9342105263157895,0.7986577181208053,0.022222222222222223,0.5288888888888889,0.5733333333333333,0.13555280819498416
0.9481570590180768,142,58,240,10,0.9342105263157895,0.8053691275167785,0.022222222222222223,0.5333333333333333,0.5777777777777777,0.12884139879901102
0.9802898411447187,143,57,241,9,0.9407894736842105,0.8087248322147651,0.02,0.5355555555555556,0.5755555555555556,0.1320646414694454
1.0124226232713602,143,52,246,9,0.9407894736842105,0.825503355704698,0.02,0.5466666666666666,0.5866666666666667,0.11528611797951249
1.0445554053980022,143,49,249,9,0.9407894736842105,0.8355704697986577,0.02,0.5533333333333333,0.5933333333333334,0.10521900388555283
1.0766881875246441,143,44,254,9,0.9407894736842105,0.8523489932885906,0.02,0.5644444444444444,0.6044444444444445,0.08844048039561991
1.108820969651286,144,43,255,8,0.9473684210526315,0.8557046979865772,0.017777777777777778,0.5666666666666667,0.6022222222222222,0.0916637230660543
1.140953751777928,145,43,255,7,0.9539473684210527,0.8557046979865772,0.015555555555555555,0.5666666666666667,0.5977777777777777,0.09824267043447543
1.17308653390457,147,42,256,5,0.9671052631578947,0.8590604026845637,0.011111111111111112,0.5688888888888889,0.5911111111111111,0.10804486047333095
