municipio,date,et_real_mm,ndvi_mean,precip_mm,temp_mean,anio,mes,tipo_dato
Aguadas,2026-01-01,82.75669561403508,0.7349683900015734,103.00740211677082,17.49357166769734,2026,1,pronosticado
Aguadas,2026-02-01,82.0793894736842,0.6807474840916706,137.83053105357007,17.53237777747673,2026,2,pronosticado
Aguadas,2026-03-01,102.39399824561403,0.6528663323097276,207.72045830595056,17.54044298058573,2026,3,pronosticado
Aguadas,2026-04-01,98.35705438596491,0.6450439651330028,252.94888221329353,17.59267967488277,2026,4,pronosticado
Aguadas,2026-05-01,93.47082280701753,0.7091446972890234,276.81289704377673,17.54724170036885,2026,5,pronosticado
Aguadas,2026-06-01,89.41504210526315,0.7330634136903427,178.71806194403857,17.525099782573555,2026,6,pronosticado
Aguadas,2026-07-01,91.0921140350877,0.7364357232342423,133.86174106903488,17.59325066717765,2026,7,pronosticado
Aguadas,2026-08-01,97.51271754385964,0.7135986275361786,182.0020293609585,17.564326167678637,2026,8,pronosticado
Aguadas,2026-09-01,99.60173333333333,0.6972030341834332,209.74899176371895,17.55385731628347,2026,9,pronosticado
Aguadas,2026-10-01,93.35967719298245,0.6662588000118551,321.2263043954018,17.40767088555889,2026,10,pronosticado
Aguadas,2026-11-01,87.19404824561403,0.6843441684647559,269.99431909316115,17.45289902657773,2026,11,pronosticado
Aguadas,2026-12-01,87.24330877192982,0.7290051489003494,161.52308662170958,17.54522840117263,2026,12,pronosticado
Aguadas,2027-01-01,82.75669561403508,0.7349683900015734,103.00740211677082,17.53662794557131,2027,1,pronosticado
Aguadas,2027-02-01,82.0793894736842,0.6807474840916706,137.83053105357007,17.560133204569716,2027,2,pronosticado
Aguadas,2027-03-01,102.39399824561403,0.6528663323097276,207.72045830595056,17.55362029819085,2027,3,pronosticado
Aguadas,2027-04-01,98.35705438596491,0.6450439651330028,252.94888221329353,17.543512135057814,2027,4,pronosticado
Aguadas,2027-05-01,93.47082280701753,0.7091446972890234,276.81289704377673,17.563050160001268,2027,5,pronosticado
Aguadas,2027-06-01,89.41504210526315,0.7330634136903427,178.71806194403857,17.54616786939968,2027,6,pronosticado
Aguadas,2027-07-01,91.0921140350877,0.7364357232342423,133.86174106903488,17.551798723661047,2027,7,pronosticado
Aguadas,2027-08-01,97.51271754385964,0.7135986275361786,182.0020293609585,17.547908895970885,2027,8,pronosticado
Aguadas,2027-09-01,99.60173333333333,0.6972030341834332,209.74899176371895,17.547908895970885,2027,9,pronosticado
Aguadas,2027-10-01,93.35967719298245,0.6662588000118551,321.2263043954018,17.530835322022554,2027,10,pronosticado
Aguadas,2027-11-01,87.19404824561403,0.6843441684647559,269.99431909316115,17.55382062576958,2027,11,pronosticado
Aguadas,2027-12-01,87.24330877192982,0.7290051489003494,161.52308662170958,17.55362029819085,2027,12,pronosticado
Anserma,2026-01-01,94.15778711484596,0.7208084798016187,107.74579383435044,18.310300021697714,2026,1,pronosticado
Anserma,2026-02-01,91.45200880352144,0.689309777991357,130.42272075309188,18.3498873963521,2026,2,pronosticado
Anserma,2026-03-01,112.19725890356146,0.6699302894916949,182.78238612002218,18.401844219734333,2026,3,pronosticado
Anserma,2026-04-01,103.00485794317731,0.6730380029379357,238.65780324405063,18.41951863288196,2026,4,pronosticado
Anserma,2026-05-01,96.77440776310527,0.7047048181399256,245.7919528154507,18.489594590103717,2026,5,pronosticado
Anserma,2026-06-01,92.17054221688679,0.7413218058197529,167.55351088693666,18.47306257054514,2026,6,pronosticado
Anserma,2026-07-01,95.82534013605445,0.7414889365689568,127.54665887352922,18.524829418911505,2026,7,pronosticado
Anserma,2026-08-01,103.58608843537418,0.7319800523588013,158.0429640314495,18.46228940283002,2026,8,pronosticado
Anserma,2026-09-01,103.62710084033617,0.7006725806335088,145.60177976582114,18.42205006775222,2026,9,pronosticado
Anserma,2026-10-01,97.6010904361745,0.6741247187196687,245.62028075767432,18.401341260982665,2026,10,pronosticado
Anserma,2026-11-01,93.65504201680676,0.6784955409948565,254.38382495233807,18.45148859158283,2026,11,pronosticado
Anserma,2026-12-01,93.43176470588239,0.7014922651708431,158.36465636577827,18.481621821662873,2026,12,pronosticado
Anserma,2027-01-01,94.15778711484596,0.7208084798016187,107.74579383435044,18.483144735911534,2027,1,pronosticado
Anserma,2027-02-01,91.45200880352144,0.689309777991357,130.42272075309188,18.504332213247192,2027,2,pronosticado
Anserma,2027-03-01,112.19725890356146,0.6699302894916949,182.78238612002218,18.470030243236224,2027,3,pronosticado
Anserma,2027-04-01,103.00485794317731,0.6730380029379357,238.65780324405063,18.496707899719155,2027,4,pronosticado
Anserma,2027-05-01,96.77440776310527,0.7047048181399256,245.7919528154507,18.464176594860884,2027,5,pronosticado
