municipio,date,anio,mes,temp_mean,temp_min,temp_max,n_pixeles
Aguadas,2005-01-31,2005,1,17.112281353229484,11.437057671002146,24.17061267694644,11.0
Aguadas,2005-02-28,2005,2,18.208079418402992,12.151411242046327,25.36709908542308,11.0
Aguadas,2005-03-31,2005,3,18.244485370423625,10.930570834230268,26.278290248519884,11.0
Aguadas,2005-04-30,2005,4,17.574294776217968,11.547449069895835,25.28570532572164,11.0
Aguadas,2005-05-31,2005,5,17.366461327323876,10.402754601766924,24.66619222581209,11.0
Aguadas,2005-06-30,2005,6,17.302496482104296,12.154906322452277,24.94165817276173,11.0
Aguadas,2005-07-31,2005,7,17.54330101005306,10.194099918438788,26.11190333660503,11.0
Aguadas,2005-08-31,2005,8,17.68541931924518,10.803776869663,25.73374001529029,11.0
Aguadas,2005-09-30,2005,9,18.088052685691245,10.874651183156343,26.19883751787241,11.0
Aguadas,2005-10-31,2005,10,16.775787263839558,11.358231892985955,25.24563154909081,11.0
Aguadas,2005-11-30,2005,11,16.93083709870656,11.488421532116984,24.01060049830364,11.0
Aguadas,2005-12-31,2005,12,16.734179881650316,11.270762496963696,23.319716425973827,11.0
Aguadas,2006-01-31,2006,1,16.81755997193171,11.267356732159245,24.307755664482187,11.0
Aguadas,2006-02-28,2006,2,17.785065167715597,11.544585447243929,25.733892402610383,11.0
Aguadas,2006-03-31,2006,3,16.908916166448595,10.927072976693852,24.56764751006188,11.0
Aguadas,2006-04-30,2006,4,16.98446767622939,11.48558833447219,25.33289005291116,11.0
Aguadas,2006-05-31,2006,5,17.287905371691377,11.65585374051088,25.081333363285225,11.0
Aguadas,2006-06-30,2006,6,17.20873280261533,10.457882662658411,25.64729781811353,11.0
Aguadas,2006-07-31,2006,7,17.953505425598532,10.69762061015904,26.0604477993278,11.0
Aguadas,2006-08-31,2006,8,18.2822489535416,10.958721093774711,27.34531717175061,11.0
Aguadas,2006-09-30,2006,9,17.71923095337558,10.837541669299824,26.855462985911466,11.0
Aguadas,2006-10-31,2006,10,17.125854177823495,10.9880220573279,25.74861747348276,11.0
Aguadas,2006-11-30,2006,11,16.577083301726358,10.665996391828696,23.914468306646576,11.0
Aguadas,2006-12-31,2006,12,17.013246144499515,11.3123866992484,25.5061366776485,11.0
Aguadas,2007-01-31,2007,1,17.70765665664144,11.887692680397484,24.491811606134306,11.0
Aguadas,2007-02-28,2007,2,18.411805138286528,10.915587937651102,26.293576438602983,11.0
Aguadas,2007-03-31,2007,3,17.36390620191536,11.59077037660854,27.03056262009549,11.0
Aguadas,2007-04-30,2007,4,17.157915944574203,11.536999453090466,24.623259532222647,11.0
Aguadas,2007-05-31,2007,5,16.95800921076199,11.928895021135842,24.84995646076572,11.0
Aguadas,2007-06-30,2007,6,16.912305103341033,10.40543789608055,24.399470567847924,11.0
Aguadas,2007-07-31,2007,7,17.095640815864208,10.312652948917613,25.61845950906755,11.0
Aguadas,2007-08-31,2007,8,16.778764172158823,10.973689996702031,24.191620851213965,11.0
Aguadas,2007-09-30,2007,9,16.983029420310764,10.631481751537448,25.454321039120792,11.0
Aguadas,2007-10-31,2007,10,16.381428578551187,11.106573637527475,24.7731598394103,11.0
Aguadas,2007-11-30,2007,11,16.708019864003404,10.943915007835235,24.2091258605402,11.0
Aguadas,2007-12-31,2007,12,16.63632048619494,11.472410480125152,23.1501754498458,11.0
Aguadas,2008-01-31,2008,1,16.702277324278427,10.930770062484228,23.77113055932151,11.0
Aguadas,2008-02-29,2008,2,16.56298365913666,10.562085596591835,24.64202608392022,11.0
