Municipio,Año,NDVI,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,Código Dane municipio,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
Aguadas,2007,0.4756375,31.97833333333333,0.7399999999999999,1361.99,81.66083333333333,86.08999999999999,17.62333333333333,0.2325,17013,4626.0,4173.0,4063.0,0.97
Aguadas,2008,0.5346208333333333,31.9375,0.6558333333333334,1236.36,81.65083333333332,82.53,17.843333333333334,0.215,17013,4604.0,4085.0,3458.0,0.85
Aguadas,2009,0.5800583333333333,31.988333333333333,0.915,2151.51,81.63583333333334,88.12,17.746666666666666,0.2141666666666667,17013,4624.0,411.0,4110.0,1.0
Aguadas,2010,0.5557916666666667,32.0175,0.8908333333333333,2778.63,81.65833333333333,88.43416666666667,17.826666666666664,0.2183333333333333,17013,4615.0,38.0,3800.0,1.0
Aguadas,2011,0.6349625,31.83083333333333,0.96,2921.37,81.63833333333334,89.3675,17.225833333333334,0.2241666666666666,17013,4584.0,3939.0,3939.0,1.0
Aguadas,2012,0.5889916666666667,31.824166666666667,0.95,2925.64,81.64916666666666,88.72166666666668,17.435,0.21,17013,4603.0,2650.0,265.0,1.0
Aguadas,2013,0.5374291666666667,31.945000000000004,0.96,2976.77,81.65333333333334,89.20833333333333,17.649166666666666,0.2066666666666666,17013,4654.0,3572.0,2784.0,0.78
Aguadas,2014,0.5032083333333334,31.9275,0.9275,2677.38,81.65916666666666,88.61416666666666,17.731666666666666,0.2091666666666667,17013,4509.0,3723.0,3138.0,0.84
Aguadas,2015,0.5956833333333333,31.936666666666667,0.7816666666666667,1465.53,81.65666666666667,85.45666666666666,18.1325,0.2091666666666666,17013,4476.0,3725.0,4198.0,1.13
Aguadas,2016,0.5690416666666667,32.016666666666666,0.7541666666666668,1906.77,81.69916666666667,85.98833333333333,18.38416666666667,0.205,17013,4415.0,3602.0,4199.0,1.17
Aguadas,2017,0.5596541666666667,31.851666666666663,0.9141666666666666,2357.33,81.69166666666666,88.55333333333334,17.761666666666667,0.2133333333333333,17013,429.0,3379.0,3986.0,1.18
Aguadas,2018,0.5421583333333334,31.7825,0.8958333333333334,2106.68,81.67083333333333,88.42583333333333,17.603333333333335,0.205,17013,4205.0,339.0,4091.0,1.21
Aguadas,2019,0.6324333333333333,31.7975,0.8441666666666667,2124.5,81.68333333333334,87.56333333333333,18.136666666666667,0.2058333333333333,17013,4094.0,3079.0,4068.0,1.32
Aguadas,2020,0.5798458333333333,31.741666666666664,0.785,1701.71,81.69166666666666,86.82333333333332,18.094166666666663,0.2308333333333333,17013,4062.0,3167.0,3869.0,1.22
Aguadas,2021,0.453575,31.83583333333333,0.6583333333333333,1126.36,81.66583333333334,83.28750000000001,18.313333333333333,0.2141666666666667,17013,4021.23,3065.96,3127.28,1.02
Aguadas,2022,0.3653791666666666,31.73583333333333,0.9175,2723.89,81.66583333333334,89.2075,17.550833333333333,0.2108333333333333,17013,4059.6,3177.86,3036.19,0.96
Aguadas,2023,0.6647041666666667,31.58583333333333,0.8658333333333333,2048.06,81.68166666666667,87.69333333333333,18.084166666666665,0.2225,17013,4037.99,3189.87,3514.23,1.1
Aguadas,2024,0.6074208333333333,31.951666666666668,0.8191666666666667,2238.15,81.70583333333333,87.02333333333333,18.743333333333336,0.2125,17013,3994.28,2986.83,4066.56,1.36
Anserma,2007,0.7771125,31.97833333333333,0.7200000000000001,1164.3,78.91333333333334,85.51666666666667,15.911666666666669,0.3033333333333333,17042,7125.0,5485.0,7131.0,1.3
Anserma,2008,0.7690250000000001,31.9375,0.6641666666666667,1268.48,78.90083333333332,84.32416666666667,15.875,0.2975,17042,6967.0,4985.0,5982.0,1.2
Anserma,2009,0.7766958333333333,31.988333333333333,0.8383333333333334,1809.62,78.89,86.99083333333334,16.05666666666667,0.2875,17042,6714.0,4785.0,6359.0,1.33
Anserma,2010,0.7238083333333334,32.0175,0.8433333333333334,2306.36,78.91333333333334,87.40750000000001,16.170833333333334,0.2916666666666667,17042,6838.0,615.0,7995.0,1.3
Anserma,2011,0.7630374999999999,31.83083333333333,0.9225,2576.44,78.885,88.25,15.599166666666669,0.3058333333333333,17042,6781.0,5254.0,5910.0,1.13
Anserma,2012,0.7696958333333334,31.824166666666667,0.9133333333333332,2560.38,78.89999999999999,87.56583333333333,15.755,0.2891666666666666,17042,3256.0,2605.0,2605.0,1.0
Anserma,2013,0.7729625000000001,31.945000000000004,0.9308333333333332,2728.97,78.90666666666667,88.12333333333333,16.006666666666668,0.2825,17042,6612.0,5098.0,4970.0,0.97
Anserma,2014,0.8028375,31.9275,0.8958333333333334,2404.87,78.91166666666666,87.52833333333332,16.063333333333333,0.2858333333333333,17042,6617.0,5276.0,5561.0,1.05
Anserma,2015,0.7733500000000001,31.936666666666667,0.775,1332.92,78.91666666666667,85.04583333333333,16.340833333333332,0.2841666666666667,17042,6594.0,5234.0,6215.0,1.19
Anserma,2016,0.7328583333333333,32.016666666666666,0.7200000000000001,1728.86,78.95833333333333,85.72666666666667,16.599166666666665,0.2733333333333334,17042,651.0,5066.0,6221.0,1.23
Anserma,2017,0.7258041666666667,31.851666666666663,0.8741666666666666,2211.96,78.94083333333333,87.38333333333333,16.140833333333333,0.2875,17042,6345.0,4707.0,5950.0,1.26
Anserma,2018,0.7613625,31.7825,0.8775,1983.61,78.91916666666667,87.29166666666667,15.970833333333331,0.285,17042,6249.0,4804.0,6211.0,1.29
Anserma,2019,0.7278916666666667,31.7975,0.8383333333333334,1998.93,78.93833333333333,86.88416666666667,16.418333333333333,0.2766666666666666,17042,5571.0,4099.0,5427.0,1.32
Anserma,2020,0.7576125,31.741666666666664,0.7908333333333334,1584.91,78.94500000000001,86.1475,16.459166666666665,0.2966666666666667,17042,5473.0,3952.0,4837.0,1.22
Anserma,2021,0.7406208333333333,31.83583333333333,0.7158333333333333,1228.52,78.92,84.85666666666667,16.411666666666665,0.2891666666666666,17042,5401.55,3910.38,3558.45,0.91
Anserma,2022,0.7497083333333333,31.73583333333333,0.89,2527.64,78.91666666666667,88.09166666666665,15.955833333333333,0.2791666666666667,17042,5264.39,4045.6,4757.89,1.18
Anserma,2023,0.7252833333333334,31.58583333333333,0.8483333333333333,1918.92,78.94,86.70083333333334,16.44666666666667,0.2908333333333333,17042,5298.05,4080.67,3673.26,0.9
Anserma,2024,0.76145,31.951666666666668,0.8108333333333334,2077.82,78.97,86.6275,16.99416666666667,0.2783333333333333,17042,5305.04,3937.98,3899.3,0.99
Aranzazu,2007,0.4222791666666667,31.97833333333333,0.7399999999999999,1361.99,81.66083333333333,86.08999999999999,17.62333333333333,0.2325,1705,2597.0,2222.0,2254.0,1.01
Aranzazu,2008,0.4355333333333333,31.9375,0.6558333333333334,1236.36,81.65083333333332,82.53,17.843333333333334,0.215,1705,2409.0,2154.0,2040.0,0.95
Aranzazu,2009,0.40955,31.988333333333333,0.915,2151.51,81.63583333333334,88.12,17.746666666666666,0.2141666666666667,1705,2306.0,2086.0,1825.0,0.87
Aranzazu,2010,0.41185,32.0175,0.8908333333333333,2778.63,81.65833333333333,88.43416666666667,17.826666666666664,0.2183333333333333,1705,2291.0,1999.0,1999.0,1.0
Aranzazu,2011,0.4138,31.83083333333333,0.96,2921.37,81.63833333333334,89.3675,17.225833333333334,0.2241666666666666,1705,2269.0,1891.0,1512.0,0.8
Aranzazu,2012,0.4290125,31.824166666666667,0.95,2925.64,81.64916666666666,88.72166666666668,17.435,0.21,1705,2269.0,1891.0,1891.0,1.0
Aranzazu,2013,0.4533416666666667,31.945000000000004,0.96,2976.77,81.65333333333334,89.20833333333333,17.649166666666666,0.2066666666666666,1705,1954.0,1555.0,1516.0,0.97
Aranzazu,2014,0.4167958333333333,31.9275,0.9275,2677.38,81.65916666666666,88.61416666666666,17.731666666666666,0.2091666666666667,1705,1948.0,1628.0,1716.0,1.05
Aranzazu,2015,0.4524708333333334,31.936666666666667,0.7816666666666667,1465.53,81.65666666666667,85.45666666666666,18.1325,0.2091666666666666,1705,1899.0,1587.0,1749.0,1.1
Aranzazu,2016,0.4633166666666666,32.016666666666666,0.7541666666666668,1906.77,81.69916666666667,85.98833333333333,18.38416666666667,0.205,1705,1909.0,1564.0,1782.0,1.14
Aranzazu,2017,0.4399833333333333,31.851666666666663,0.9141666666666666,2357.33,81.69166666666666,88.55333333333334,17.761666666666667,0.2133333333333333,1705,1909.0,1579.0,2488.0,1.58
Aranzazu,2018,0.4714583333333333,31.7825,0.8958333333333334,2106.68,81.67083333333333,88.42583333333333,17.603333333333335,0.205,1705,1872.0,1517.0,2445.0,1.61
Aranzazu,2019,0.459225,31.7975,0.8441666666666667,2124.5,81.68333333333334,87.56333333333333,18.136666666666667,0.2058333333333333,17050,1758.0,1379.0,1771.0,1.28
Aranzazu,2020,0.4824833333333333,31.741666666666664,0.785,1701.71,81.69166666666666,86.82333333333332,18.094166666666663,0.2308333333333333,17050,1739.0,1404.0,333.6,0.24
Aranzazu,2021,0.4396708333333333,31.83583333333333,0.6583333333333333,1126.36,81.66583333333334,83.28750000000001,18.313333333333333,0.2141666666666667,17050,1593.36,1283.76,1386.46,1.08
Aranzazu,2022,0.4372,31.73583333333333,0.9175,2723.89,81.66583333333334,89.2075,17.550833333333333,0.2108333333333333,17050,1581.8,1289.04,1263.2,0.98
Aranzazu,2023,0.5142208333333333,31.58583333333333,0.8658333333333333,2048.06,81.68166666666667,87.69333333333333,18.084166666666665,0.2225,17050,1535.46,1243.74,1355.6,1.09
