municipio,date,anio,mes,temp_mean,temp_min,temp_max,n_pixeles
Aguadas,2005-12-31,2005,12,17.46380633224068,10.194099918438788,26.278290248519884,11.0
Aguadas,2006-12-31,2006,12,17.30531800943309,10.457882662658411,27.34531717175061,11.0
Aguadas,2007-12-31,2007,12,17.091233466050323,10.312652948917613,27.03056262009549,11.0
Aguadas,2008-12-31,2008,12,16.696953062026036,10.095355820149605,25.34259840730953,11.0
Aguadas,2009-12-31,2009,12,17.257226344656505,10.502290552523093,27.55335664353793,11.0
Aguadas,2010-12-31,2010,12,17.45495096593105,10.582733407324346,27.844509412497462,11.0
Aguadas,2011-12-31,2011,12,16.84870423157081,9.94458421913512,25.80969356155013,11.0
Aguadas,2012-12-31,2012,12,17.251934042992733,9.952210126824786,27.153049363308927,11.0
Aguadas,2013-12-31,2013,12,17.392708780649457,9.829632586873606,26.79131718125457,11.0
Aguadas,2014-12-31,2014,12,17.69647773925053,10.610505899982844,28.033494714441904,11.0
Aguadas,2015-12-31,2015,12,18.17113151391713,10.751506707448955,28.487859410053588,11.0
Aguadas,2016-12-31,2016,12,18.217192832083786,10.568436508255878,28.66390707943634,11.0
Aguadas,2017-12-31,2017,12,17.726856705946812,10.267674003886528,26.898385697259737,11.0
Aguadas,2018-12-31,2018,12,17.820151755120417,9.979448145296532,27.333345888020208,11.0
Aguadas,2019-12-31,2019,12,18.273733563618936,10.252052429014102,28.83239556940312,11.0
Aguadas,2020-12-31,2020,12,17.98438438997663,10.663451660896843,28.10645045636279,11.0
Aguadas,2021-12-31,2021,12,17.390471995909675,9.928571007152929,26.683265298779776,11.0
Aguadas,2022-12-31,2022,12,16.979320084999674,9.580581100355891,25.85493955853256,11.0
Aguadas,2023-12-31,2023,12,17.92378288372621,10.576692068564787,27.53515807673474,11.0
Aguadas,2024-12-31,2024,12,18.47157384423997,10.992494394516468,29.10153803656632,11.0
Aguadas,2025-12-31,2025,12,17.459563431993413,10.429267048618817,26.255791063761965,11.0
Anserma,2005-12-31,2005,12,18.143801382660744,12.10925481399436,26.00295819788173,6.0
