municipio,date,anio,ndvi_mean,ndvi_median,ndvi_min,ndvi_max,ndvi_stdDev,n_pixeles
Aguadas,2005-12-31,2005,0.7035949534462427,0.7383504083223364,0.005,0.9994,0.14192352421199406,7979.958333333333
Aguadas,2006-12-31,2006,0.6910447776387779,0.731616005047265,0.0121,0.9987,0.15029436058392698,7979.5
Aguadas,2007-12-31,2007,0.6878053542374385,0.7319162010428591,0.0089,0.9991,0.15851145583209597,7980.083333333333
Aguadas,2008-12-31,2008,0.6788291009002497,0.7294874593474107,0.0087,0.9992,0.16553005849900568,7979.791666666667
Aguadas,2009-12-31,2009,0.7055800206320425,0.7488442626341737,0.0,0.9992,0.1479019425489356,7979.75
Aguadas,2010-12-31,2010,0.6550579753571952,0.6933078954069275,0.0142,0.9991,0.1703067274148186,7979.958333333333
Aguadas,2011-12-31,2011,0.68598846203021,0.7327278641578282,-0.0039,0.9995,0.16340285981347388,7979.75
Aguadas,2012-12-31,2012,0.7095856502754331,0.7441134147357386,0.0107,0.9989,0.13857618407408392,7979.958333333333
Aguadas,2013-12-31,2013,0.713569532636357,0.7560236512470877,0.0135,0.9991,0.1427342247360693,7979.916666666667
Aguadas,2014-12-31,2014,0.6955698199179854,0.747041589980118,0.0114,0.9989,0.15918879838406225,7979.75
Aguadas,2015-12-31,2015,0.6956915103290946,0.7221802629827181,0.0073,0.9994,0.12742461092740817,7980.041666666667
Aguadas,2016-12-31,2016,0.6863305744808678,0.715639641443273,0.0087,0.9991,0.13375043739528608,7979.875
Aguadas,2017-12-31,2017,0.7204382974485609,0.7612413416775875,0.0056,0.9994,0.1500947547613828,7979.958333333333
Aguadas,2018-12-31,2018,0.7012694808886292,0.7488095273384507,-0.0198,0.9994,0.15715791514683722,7979.875
Aguadas,2019-12-31,2019,0.7026902937007605,0.7474430103774748,0.0029,0.9992,0.15463379581734987,7979.958333333333
Aguadas,2020-12-31,2020,0.7198856292752366,0.7560151206640261,0.0206,0.9994,0.14157772110675335,7979.875
