municipio,date,anio,mes,tipo_dato,precip_mm,precip_mean_mm,precip_max_mm,temp_mean,temp_min,temp_max,et_real_mm,et_potencial_mm,ndvi_mean,ndvi_min,ndvi_max
Aguadas,2005-01-01,2005,1,observado,114.15275425803536,3.682346911549528,30.293657032033213,17.112281353229484,11.437057671002146,24.17061267694644,93.49263157894734,95.10738596491224,0.6791960196603197,0.0297,0.9985
Aguadas,2005-02-01,2005,2,observado,92.36796297601008,3.298855820571789,34.7309149426166,18.208079418402992,12.151411242046327,25.36709908542308,86.82715789473684,87.81031578947368,0.6947627108068213,0.0376,0.9993
Aguadas,2005-03-01,2005,3,observado,212.6486888892498,6.859635125459671,30.77239350830866,18.244485370423625,10.930570834230268,26.278290248519884,106.87229824561408,106.94201754385966,0.7353677896007784,0.0487,0.9991
Aguadas,2005-04-01,2005,4,observado,222.8903351891527,7.429677839638422,19.72876723836688,17.574294776217968,11.547449069895835,25.28570532572164,97.1157192982456,97.1157192982456,0.6834012915607464,0.0158,0.9988
Aguadas,2005-05-01,2005,5,observado,365.4591237012418,11.78900399036264,38.9679031767926,17.366461327323876,10.402754601766924,24.66619222581209,94.95603508771929,94.95603508771929,0.7561829160746025,0.0261,0.9982
Aguadas,2005-06-01,2005,6,observado,181.10301689738355,6.036767229912785,16.811892436323696,17.302496482104296,12.154906322452277,24.94165817276173,83.75329824561405,83.75329824561405,0.7617037413654679,0.0484,0.9994
Aguadas,2005-07-01,2005,7,observado,117.71154850863168,3.797146726084892,19.614353352515067,17.54330101005306,10.194099918438788,26.11190333660503,97.56963157894737,100.40210526315788,0.7269130597045588,0.0533,0.9966
Aguadas,2005-08-01,2005,8,observado,131.59985682421834,4.245156671748979,17.064085929250748,17.68541931924518,10.803776869663,25.73374001529029,97.310649122807,97.310649122807,0.6902229938059297,0.0315,0.9994
Aguadas,2005-09-01,2005,9,observado,179.6898296894951,5.9896609896498365,29.864860286534025,18.088052685691245,10.874651183156343,26.19883751787241,96.8702280701754,96.8702280701754,0.6904673240701185,0.0174,0.999
Aguadas,2005-10-01,2005,10,observado,325.0103350910649,10.484204357776289,37.45677183272415,16.775787263839558,11.358231892985955,25.24563154909081,85.03589473684208,85.03589473684208,0.5825879229483482,0.0259,0.9929
Aguadas,2005-11-01,2005,11,observado,258.7799390639211,8.625997968797371,46.49587902145366,16.93083709870656,11.488421532116984,24.01060049830364,80.86828070175443,80.86828070175443,0.7247433284672733,0.005,0.9967
Aguadas,2005-12-01,2005,12,observado,179.98526734926824,5.805976366105427,30.250243760217323,16.734179881650316,11.270762496963696,23.319716425973827,87.14945614035086,87.14945614035086,0.7175903432899473,0.0231,0.9988
Aguadas,2006-01-01,2006,1,observado,129.4270577569516,4.175066379256503,22.696618816575587,16.81755997193171,11.267356732159245,24.307755664482187,93.9364561403509,93.9364561403509,0.7194053496849124,0.0218,0.9983
Aguadas,2006-02-01,2006,2,observado,102.18337933886237,3.6494064049593695,19.728244056643724,17.785065167715597,11.544585447243929,25.733892402610383,97.2682807017544,99.03561403508776,0.7490290489642678,0.0365,0.9929
Aguadas,2006-03-01,2006,3,observado,247.0652711691358,7.969847457068897,25.228899939335985,16.908916166448595,10.927072976693852,24.56764751006188,96.3881578947368,96.3881578947368,0.622354473215545,0.0163,0.9967
Aguadas,2006-04-01,2006,4,observado,261.6757665220558,8.722525550735194,26.88154261180402,16.98446767622939,11.48558833447219,25.33289005291116,91.05333333333336,91.05333333333336,0.5200679352167591,0.0305,0.9946
Aguadas,2006-05-01,2006,5,observado,279.75857214057515,9.024470069050812,38.74760493010819,17.287905371691377,11.65585374051088,25.081333363285225,84.31314035087719,84.31314035087719,0.7167388356061006,0.0311,0.9948
Aguadas,2006-06-01,2006,6,observado,224.4700688705116,7.482335629017054,28.704286827313325,17.20873280261533,10.457882662658411,25.64729781811353,88.36991228070177,88.36991228070177,0.7621890000318262,0.0739,0.9743
Aguadas,2006-07-01,2006,7,observado,110.92983292769976,3.578381707345154,16.1409195456074,17.953505425598532,10.69762061015904,26.0604477993278,87.73771929824562,87.73771929824562,0.7318012723871548,0.0257,0.9966
Aguadas,2006-08-01,2006,8,observado,160.4541941389679,5.175941746418319,24.359000555988025,18.2822489535416,10.958721093774711,27.34531717175061,93.1677192982456,103.96243859649122,0.7159310453277021,0.0211,0.9958
Aguadas,2006-09-01,2006,9,observado,240.6295871807636,8.020986239358784,20.51157850049713,17.71923095337558,10.837541669299824,26.855462985911466,102.57128070175436,102.57128070175436,0.7052504683797465,0.0294,0.9973
Aguadas,2006-10-01,2006,10,observado,317.4972803966211,10.241847754729712,29.118652589952937,17.125854177823495,10.9880220573279,25.74861747348276,92.48366666666666,92.48366666666666,0.7390286696249279,0.0451,0.9943
Aguadas,2006-11-01,2006,11,observado,296.6226814122057,9.88742271374019,34.00689809650025,16.577083301726358,10.665996391828696,23.914468306646576,87.2971754385965,87.2971754385965,0.6212726137826535,0.0224,0.9987
Aguadas,2006-12-01,2006,12,observado,160.88070080824002,5.189700026072258,26.98709994658613,17.013246144499515,11.3123866992484,25.5061366776485,85.92177192982454,85.92177192982454,0.6894686194437392,0.0121,0.9962
Aguadas,2007-01-01,2007,1,observado,98.49657678797227,3.177308928644267,29.709485109773844,17.70765665664144,11.887692680397484,24.491811606134306,81.69815789473682,93.9160350877193,0.7418735683619835,0.0551,0.969
Aguadas,2007-02-01,2007,2,observado,39.41755105736467,1.4077696806201667,15.258982210634814,18.411805138286528,10.915587937651102,26.293576438602983,56.97835087719297,108.02550877192982,0.699929934311845,0.2129,0.9884
Aguadas,2007-03-01,2007,3,observado,245.5792812630063,7.921912298806655,37.92186335218734,17.36390620191536,11.59077037660854,27.03056262009549,104.28722807017544,104.28722807017544,0.5483460156407224,0.023,0.9963
Aguadas,2007-04-01,2007,4,observado,339.1909068689199,11.30636356229733,40.14470051548445,17.157915944574203,11.536999453090466,24.623259532222647,90.73461403508772,90.73461403508772,0.6508422077452058,0.0291,0.9964
Aguadas,2007-05-01,2007,5,observado,376.2660638208904,12.137614961964204,28.538690594533403,16.95800921076199,11.928895021135842,24.84995646076572,84.35880701754384,84.35880701754384,0.6489276320436635,0.0206,0.9986
Aguadas,2007-06-01,2007,6,observado,91.247610024759,3.0415870008253,21.40668122082293,16.912305103341033,10.40543789608055,24.399470567847924,86.95773684210525,86.95773684210525,0.7687822410204967,0.0692,0.9966
Aguadas,2007-07-01,2007,7,observado,190.2805759060145,6.138083093742402,28.00806708928453,17.095640815864208,10.312652948917613,25.61845950906755,95.0254210526316,95.0254210526316,0.7510290500679673,0.0313,0.9966
Aguadas,2007-08-01,2007,8,observado,237.8607372694515,7.672927008691984,25.64895024271863,16.778764172158823,10.973689996702031,24.191620851213965,92.35914035087718,92.35914035087718,0.7149707963636408,0.0386,0.9962
Aguadas,2007-09-01,2007,9,observado,219.34453355158715,7.311484451719571,25.410074563365573,16.983029420310764,10.631481751537448,25.454321039120792,99.2448245614035,99.2448245614035,0.711831637475923,0.0399,0.9983
Aguadas,2007-10-01,2007,10,observado,361.19542078367215,11.65146518657007,39.99960484187292,16.381428578551187,11.106573637527475,24.7731598394103,83.50794736842106,83.50794736842106,0.6288948336030128,0.0089,0.9991
Aguadas,2007-11-01,2007,11,observado,238.99325653921952,7.96644188464065,42.28439700890119,16.708019864003404,10.943915007835235,24.2091258605402,84.89966666666665,84.89966666666665,0.7221476841044094,0.0531,0.9962
Aguadas,2007-12-01,2007,12,observado,222.4800612812433,7.176776170362689,70.68127605348442,16.63632048619494,11.472410480125152,23.1501754498458,77.627649122807,77.627649122807,0.6660886501103909,0.013,0.9958
Aguadas,2008-01-01,2008,1,observado,103.25536578071475,3.330818250990798,21.15501116089083,16.702277324278427,10.930770062484228,23.77113055932151,87.85759649122807,91.25175438596492,0.7097672168959044,0.0139,0.9853
Aguadas,2008-02-01,2008,2,observado,187.5796853784548,6.468265013050165,53.19621708048533,16.56298365913666,10.562085596591835,24.64202608392022,86.99912280701759,87.0235964912281,0.6640806937092143,0.0229,0.9965
Aguadas,2008-03-01,2008,3,observado,304.0157411488905,9.806959391899694,34.606362524107425,16.568570934331227,10.62460844620417,24.267517589727262,102.9280701754386,103.33005263157892,0.6649126099080462,0.0215,0.9962
Aguadas,2008-04-01,2008,4,observado,252.3690521848017,8.412301739493392,32.33240076440161,16.758398627270612,10.8989363405172,25.17291241868565,96.6978596491228,96.6978596491228,0.6554817331553098,0.0282,0.9984
Aguadas,2008-05-01,2008,5,observado,379.9893921870456,12.257722328614374,39.27454805965516,16.65116532909283,10.9322281948356,23.67290064673818,85.49173684210524,85.49173684210524,0.6960216462563045,0.0233,0.9978
Aguadas,2008-06-01,2008,6,observado,227.0744333575569,7.56914777858523,21.525431366034383,16.59652679948217,10.92409586197689,23.78001813281056,86.45594736842108,86.45594736842108,0.6755944967946472,0.0473,0.9988
Aguadas,2008-07-01,2008,7,observado,256.9964853301286,8.290209204197698,25.23089619522848,16.55780216592678,10.462188233162466,24.68937100525213,85.91898245614036,85.91898245614036,0.7667245730218597,0.0466,0.9991
Aguadas,2008-08-01,2008,8,observado,351.649878208983,11.343544458354293,32.34369139935632,16.66174892396632,10.095355820149605,25.34259840730953,97.40205263157893,97.40205263157893,0.6556358583570341,0.0252,0.9992
Aguadas,2008-09-01,2008,9,observado,250.58390160718463,8.352796720239489,33.225194112284825,17.00991298299256,10.32770016692408,25.10497802178952,95.5752280701754,95.5752280701754,0.5925860106201661,0.0405,0.9975
Aguadas,2008-10-01,2008,10,observado,334.9036524701921,10.803343628070714,50.69474939333279,16.9392781206896,11.129446917187725,23.97882884520253,90.50650877192984,90.50650877192984,0.7167954573789184,0.0272,0.997
Aguadas,2008-11-01,2008,11,observado,377.5637221593429,12.585457405311432,42.201407127698985,16.712575911061332,12.590155689636813,23.93957981460621,80.46291228070176,80.46291228070176,0.6088650399242778,0.0253,0.9982
Aguadas,2008-12-01,2008,12,observado,165.79762983104905,5.34831063971126,35.06189906063095,16.642195966083914,10.853335025120098,23.62669129405396,84.47098245614032,84.47098245614032,0.7394838747813144,0.0087,0.9982
Aguadas,2009-01-01,2009,1,observado,167.20836765571232,5.393818311474592,26.89485124188777,16.61015986620878,11.078196764136978,23.51874929337461,91.47822807017543,91.50929824561403,0.6989156787486641,0.0,0.9992
Aguadas,2009-02-01,2009,2,observado,143.88112951893953,5.138611768533555,26.282177357153486,16.72268995390373,10.83718519374746,24.05791667633523,91.69177192982455,92.24057894736842,0.6799538476667399,0.0356,0.9972
Aguadas,2009-03-01,2009,3,observado,198.18789827730103,6.393158008945195,25.609287494166058,16.934644502437216,11.33257106862008,24.92925561609841,101.13187719298242,101.13187719298242,0.6743035694191761,0.0108,0.9974
Aguadas,2009-04-01,2009,4,observado,225.711475696542,7.5237158565514,29.704992941680413,17.330172244330097,11.072709169763916,24.975716484231853,95.94619298245613,95.94619298245613,0.6018248207384825,0.0507,0.9971
Aguadas,2009-05-01,2009,5,observado,246.53868715463184,7.952860875955865,45.61449336788377,16.97423969909043,11.351298169636536,24.27807426491211,92.84487719298244,92.84487719298244,0.7584472588138719,0.0654,0.993
Aguadas,2009-06-01,2009,6,observado,223.72051159634347,7.457350386544783,29.76067022479537,16.87017219709745,11.153416947383151,25.69513921323033,87.00450877192984,87.00450877192984,0.6866671273547329,0.0232,0.9991
Aguadas,2009-07-01,2009,7,observado,83.37419874068907,2.689490281957712,14.140338463470684,17.69326363843732,10.502290552523093,25.648017804615453,93.58189473684207,96.7099649122807,0.7709368521277278,0.1147,0.983
Aguadas,2009-08-01,2009,8,observado,174.4040097391355,5.625935798036629,16.04826914971462,17.849609380632263,11.05721713259924,27.55335664353793,96.00791228070172,96.00791228070172,0.7392924029975473,0.0718,0.985
Aguadas,2009-09-01,2009,9,observado,126.23436316156108,4.207812105385369,22.227669284060703,18.24285105866085,10.997018463474218,26.652043023798928,100.87722807017543,100.87722807017543,0.7092808028141467,0.0683,0.999
