modelo,mae,rmse,sesgo,municipio,variable,modelo_seleccionado
seasonal_naive,57.99110430945576,96.97937681544592,-6.571693796237555,Aguadas,precip_mm,seasonal_naive
random_forest_lags,63.8565950242524,104.41297022174612,-27.03937827295223,Aguadas,precip_mm,seasonal_naive
sarima,63.82651150016894,106.56320994165449,-44.399210494491925,Aguadas,precip_mm,seasonal_naive
seasonal_naive,1.942968191907252,3.37780318788592,-0.26392184137564356,Aguadas,precip_mean_mm,seasonal_naive
sarima,2.140256473461902,3.6953262089307635,-1.5133137123334106,Aguadas,precip_mean_mm,seasonal_naive
random_forest_lags,2.216987146979788,3.7225027623445803,-1.0371828283878641,Aguadas,precip_mean_mm,seasonal_naive
random_forest_lags,11.232742687834461,18.652188609778634,-4.83191108387138,Aguadas,precip_max_mm,random_forest_lags
sarima,12.068765177115152,19.340499025798177,-5.3045436509474575,Aguadas,precip_max_mm,random_forest_lags
seasonal_naive,12.115430968663615,19.476989480544294,-5.654164844992125,Aguadas,precip_max_mm,random_forest_lags
random_forest_lags,0.5660731293052611,0.7585700887556186,-0.33650461852327385,Aguadas,temp_mean,random_forest_lags
sarima,0.5797158410376654,0.7688578172071903,-0.3796591369377565,Aguadas,temp_mean,random_forest_lags
seasonal_naive,0.6375999049311966,0.8415707236504998,-0.4894448616013802,Aguadas,temp_mean,random_forest_lags
sarima,0.3983157543815965,0.5130223154350532,0.1378480887718658,Aguadas,temp_min,sarima
seasonal_naive,0.5040128342705481,0.6063149596459128,-0.3610719566287805,Aguadas,temp_min,sarima
random_forest_lags,0.5871347871796121,0.691798025685193,-0.4336750428786127,Aguadas,temp_min,sarima
sarima,0.9774025195192715,1.1182237893909182,0.01568492617339751,Aguadas,temp_max,sarima
seasonal_naive,1.0405108811004906,1.2592424639948216,-0.6046957763672389,Aguadas,temp_max,sarima
random_forest_lags,1.0555676232243676,1.2844916816962901,-0.6434418953506201,Aguadas,temp_max,sarima
seasonal_naive,9.969840480831708,14.409142736294791,-0.254827322936969,Aguadas,et_real_mm,seasonal_naive
