cluster,n_obs,r2_cv,r2_train,mae_train
0,36,-3.6503717205192054,0.0867277984122683,0.18966931053100078
1,162,-0.22473970999630555,0.16316869426175318,0.2062135821239678
2,198,-0.2679249971915317,0.1298502412885022,0.18212844258295968
3,54,-1.102602777739064,0.4161786970417991,0.11026786595988318
