Municipio,Año,Mes,ALLSKY_SFC_LW_DWN,GWETROOT,PRECTOTCORR,PS,RH2M,T2M,WS2M,NDVI,NDVI_min,NDVI_max,NDVI_std,n_observaciones_16d
Aguadas,2004,1,32.0,0.92,3.87,81.66,87.78,17.35,0.22,0.7381500000000001,0.6871,0.7892,0.0721956023591465,2
Aguadas,2004,2,31.99,0.84,4.96,81.68,84.35,17.88,0.24,0.6235,0.4652,0.7818,0.223870006923661,2
Aguadas,2004,3,32.41,0.84,4.94,81.57,86.33,18.7,0.17,0.42905,0.211,0.6471,0.3083692672754534,2
Aguadas,2004,4,32.33,0.87,5.85,81.67,88.5,18.08,0.21,0.6074999999999999,0.607,0.608,0.0007071067811865,2
Aguadas,2004,5,32.28,0.87,6.09,81.69,87.87,18.12,0.17,0.71975,0.6963,0.7432,0.033163308037649,2
Aguadas,2004,6,31.4,0.83,2.29,81.74,84.49,17.65,0.2,0.77355,0.7702,0.7769,0.0047376154339499,2
Aguadas,2004,7,31.54,0.77,4.44,81.72,85.29,17.18,0.2,0.4336,0.165,0.7022,0.3798577628534134,2
Aguadas,2004,8,31.53,0.69,3.83,81.74,82.47,17.54,0.23,0.48065,0.2344,0.7269,0.3482500897343746,2
Aguadas,2004,9,31.93,0.66,3.31,81.7,83.39,17.48,0.24,0.73335,0.706,0.7607,0.0386787409309042,2
Aguadas,2004,10,32.03,0.76,8.96,81.65,89.18,17.35,0.25,0.62005,0.4939,0.7462,0.1784030408933659,2
Aguadas,2004,11,31.94,0.93,7.69,81.59,91.42,17.11,0.23,0.5781,0.5781,0.5781,,1
Aguadas,2004,12,31.99,0.96,5.0,81.61,90.1,17.28,0.23,0.4248,0.1571,0.6925,0.3785849706472775,2
Aguadas,2005,1,32.41,0.96,5.86,81.61,89.51,17.42,0.24,0.5738,0.4551,0.6925,0.1678671498536863,2
Aguadas,2005,2,32.82,0.89,1.99,81.57,86.08,18.45,0.21,0.6313,0.5891,0.6735,0.0596798123321446,2
Aguadas,2005,3,32.25,0.8,4.21,81.71,85.31,18.57,0.22,0.6066,0.4521,0.7611,0.2184959953866432,2
Aguadas,2005,4,32.56,0.88,8.95,81.64,88.55,18.46,0.2,0.54135,0.3846,0.6981,0.2216779759019827,2
Aguadas,2005,5,32.08,0.98,9.34,81.67,90.0,17.83,0.2,0.49075,0.2063,0.7752,0.4022730478170269,2
Aguadas,2005,6,32.08,0.95,6.51,81.69,88.31,17.9,0.19,0.76145,0.7376,0.7853,0.0337289934625983,2
Aguadas,2005,7,31.63,0.94,5.94,81.76,85.7,17.62,0.22,0.64045,0.5172,0.7637,0.1743018215624839,2
Aguadas,2005,8,31.91,0.82,4.15,81.72,84.46,17.83,0.23,0.54755,0.3182,0.7769,0.3243498805302693,2
Aguadas,2005,9,31.96,0.77,4.94,81.7,85.6,18.08,0.22,0.6738,0.6383,0.7093,0.0502045814642448,2
Aguadas,2005,10,31.95,0.86,7.59,81.68,90.8,17.24,0.26,0.5896,0.5896,0.5896,,1
Aguadas,2005,11,31.92,0.94,5.55,81.6,89.89,17.24,0.25,0.3497,0.1205,0.5789,0.3241377484959133,2
Aguadas,2005,12,31.67,0.93,5.56,81.62,89.37,17.0,0.27,0.38465,0.1941,0.5752,0.2694783943101932,2
Aguadas,2006,1,32.01,0.97,8.23,81.58,88.81,17.33,0.21,0.5532,0.3112,0.7952,0.342239682094289,2
Aguadas,2006,2,32.26,0.93,3.73,81.6,85.25,18.17,0.21,0.73475,0.691,0.7785,0.0618718433538228,2
Aguadas,2006,3,32.34,0.86,4.14,81.62,87.97,17.89,0.2,0.48565,0.4086,0.5627,0.1089651549808469,2
Aguadas,2006,4,32.3,0.89,7.14,81.62,89.84,17.4,0.21,0.1934,0.1903,0.1965,0.0043840620433565,2
Aguadas,2006,5,32.14,0.94,4.48,81.7,88.2,17.99,0.19,0.4814,0.209,0.7538,0.3852317743904311,2
Aguadas,2006,6,31.73,0.93,5.73,81.72,87.84,17.44,0.21,0.6286,0.6072,0.65,0.0302641702347842,2
Aguadas,2006,7,31.67,0.76,2.56,81.74,83.35,17.59,0.19,0.82155,0.7789,0.8642,0.0603162084352124,2
Aguadas,2006,8,31.66,0.78,8.84,81.68,85.55,17.86,0.22,0.43955,0.1071,0.772,0.4701552988109355,2
Aguadas,2006,9,31.81,0.87,8.75,81.71,85.99,17.67,0.25,0.37885,0.1156,0.6421,0.3722917202947173,2
Aguadas,2006,10,32.11,0.91,7.11,81.64,89.49,17.5,0.22,0.7791,0.7791,0.7791,,1
Aguadas,2006,11,31.96,0.93,4.91,81.58,90.81,17.04,0.23,0.3254,0.1685,0.4823,0.2218901079363386,2
Aguadas,2006,12,31.94,0.95,4.73,81.67,89.13,17.46,0.21,0.3149,0.1627,0.4671,0.215243304193185,2
Aguadas,2007,1,32.4,0.88,3.03,81.59,87.3,18.09,0.2,0.33745,0.2734,0.4015,0.0905803786699967,2
Aguadas,2007,2,31.34,0.74,0.65,81.69,78.47,18.15,0.28,0.65235,0.5104,0.7943,0.2007476151788608,2
Aguadas,2007,3,32.53,0.65,3.22,81.6,85.58,18.09,0.19,0.6437999999999999,0.5,0.7876,0.203363910269251,2
Aguadas,2007,4,32.27,0.76,6.37,81.69,88.76,17.75,0.23,0.14425,0.1097,0.1788,0.0488610785799904,2
Aguadas,2007,5,32.19,0.84,6.6,81.69,90.22,17.93,0.2,0.6391,0.5349,0.7433,0.1473610531992764,2
Aguadas,2007,6,31.92,0.84,2.2,81.72,85.21,17.56,0.2,0.57715,0.4088,0.7455,0.2380828532255105,2
Aguadas,2007,7,31.54,0.7,3.69,81.74,84.02,17.59,0.24,0.43915,0.261,0.6173,0.2519421461367668,2
Aguadas,2007,8,32.04,0.65,2.98,81.69,83.49,17.59,0.24,0.30355,0.0983,0.5088,0.2902673336770778,2
Aguadas,2007,9,31.92,0.64,3.98,81.7,82.65,17.84,0.24,0.33965,0.2866,0.3927,0.0750240294838926,2
Aguadas,2007,10,31.8,0.7,4.59,81.64,89.32,16.91,0.26,0.7361,0.7361,0.7361,,1
Aguadas,2007,11,31.85,0.74,3.63,81.55,89.25,17.17,0.25,0.3952,0.1155,0.6749,0.3955555333957547,2
Aguadas,2007,12,31.94,0.74,3.58,81.63,88.81,16.81,0.26,0.4999,0.2228,0.777,0.3918785781335847,2
Aguadas,2008,1,31.95,0.75,3.43,81.57,86.31,17.18,0.23,0.6735,0.6268,0.7202,0.0660437733628234,2
Aguadas,2008,2,32.03,0.66,1.01,81.66,83.49,17.51,0.21,0.71485,0.6977,0.732,0.0242537625946985,2
Aguadas,2008,3,32.22,0.62,2.36,81.65,80.71,17.87,0.19,0.2908,0.1606,0.421,0.1841306058209769,2
Aguadas,2008,4,31.91,0.63,2.82,81.59,83.87,17.86,0.22,0.46225,0.1435,0.781,0.450780573006424,2
Aguadas,2008,5,32.0,0.66,3.86,81.67,85.38,17.73,0.2,0.5219,0.2722,0.7716,0.3531291265245618,2
Aguadas,2008,6,31.87,0.61,1.23,81.69,78.95,18.41,0.19,0.47635,0.2076,0.7451,0.3800698948877692,2
Aguadas,2008,7,31.83,0.58,1.6,81.72,75.83,18.37,0.19,0.74335,0.6917,0.795,0.0730441304965704,2
Aguadas,2008,8,31.9,0.57,2.25,81.67,77.56,18.33,0.19,0.5621,0.4157,0.7085,0.2070408655314211,2
Aguadas,2008,9,31.76,0.57,1.44,81.68,74.87,18.79,0.22,0.6033999999999999,0.482,0.7248,0.1716855264720937,2
Aguadas,2008,10,31.9,0.65,5.41,81.69,84.77,17.71,0.23,0.2337,0.097,0.3704,0.1933229939764021,2
Aguadas,2008,11,32.07,0.71,6.67,81.61,88.61,17.17,0.26,0.2864,0.2864,0.2864,,1
Aguadas,2008,12,31.81,0.86,8.26,81.61,90.01,17.19,0.25,0.84685,0.7896,0.9041,0.0809637264458597,2
Aguadas,2009,1,32.14,0.93,6.05,81.64,89.71,17.33,0.23,0.3872,0.0863,0.6881,0.4255368609180643,2
Aguadas,2009,2,32.21,0.95,5.59,81.58,88.57,17.61,0.2,0.3401,0.1818,0.4984,0.2238700069236609,2
Aguadas,2009,3,32.34,0.93,4.63,81.57,88.76,17.67,0.22,0.68885,0.5458,0.8319,0.2023032500974712,2
Aguadas,2009,4,32.26,0.96,5.95,81.67,88.7,17.86,0.21,0.6306499999999999,0.5264,0.7349,0.1474317638773952,2
Aguadas,2009,5,31.92,0.94,5.91,81.68,88.67,17.7,0.19,0.7525,0.7484,0.7566,0.0057982756057297,2
Aguadas,2009,6,31.94,0.93,7.17,81.71,88.55,17.56,0.21,0.5546,0.4749,0.6343,0.1127128209211356,2
Aguadas,2009,7,31.78,0.89,4.18,81.7,85.71,17.94,0.17,0.6447499999999999,0.6298,0.6597,0.0211424927574776,2
Aguadas,2009,8,31.99,0.88,10.03,81.67,87.02,18.11,0.18,0.74125,0.7404,0.7421,0.0012020815280171,2
Aguadas,2009,9,31.69,0.9,5.59,81.68,84.15,18.42,0.2,0.5743,0.3972,0.7514,0.2504572218962751,2
Aguadas,2009,10,31.92,0.84,6.34,81.59,88.75,17.61,0.24,0.3641,0.3641,0.3641,,1
Aguadas,2009,11,32.03,0.93,6.26,81.54,90.7,17.45,0.25,0.5228,0.3686,0.677,0.2180717313179313,2
Aguadas,2009,12,31.64,0.9,3.05,81.6,88.15,17.7,0.27,0.7596,0.7582,0.761,0.0019798989873223,2
Aguadas,2010,1,31.53,0.78,1.51,81.57,82.04,18.25,0.27,0.762,0.7514,0.7726,0.0149906637611548,2
Aguadas,2010,2,32.4,0.66,2.01,81.56,84.14,19.16,0.2,0.739,0.7061,0.7719,0.0465276262020748,2
