variable,0,1,2,3
balance_hidrico_mm_min_m01_06,-0.05869568811479864,-0.01930215028362115,0.016829100629874926,0.02171931375475964
et_potencial_mm_std,0.0212348363391001,0.10741120045020848,0.046056495583450686,-0.08966542627846516
et_real_mm_std,-0.015601589886803734,-0.06667329812831894,-0.03097652506529033,0.13307484701882186
exceso_hidrico_mm_m02,0.026909552640873125,0.014096745514110299,-0.019840540312992913,-0.04477411876049603
ndvi_mean_m05,-0.0634048441552974,0.04206414458159999,0.03834257308297262,0.03690133198280343
ndvi_mean_min_m01_06,0.037433333194594104,0.028381408901636637,-0.0029204717774012454,0.03450017048613798
precip_max_mm_m07,-0.046406938937337106,-0.00767973482455539,0.0426550062417974,0.028358350310998655
temp_max_max_m04_06,0.007086776750419,0.04800281067830481,0.04911435173857069,-0.023672230511203193
