Código Dane municipio,Municipio,Año,Área sembrada (ha),Área cosechada (ha),Producción (t),Rendimiento (t/ha)
17616,Risaralda,2020,2700.0,1907.0,2375.0,1.25
17616,Risaralda,2021,2649.94,1818.71,1982.39,1.09
17616,Risaralda,2022,2625.33,1903.41,2382.85,1.25
17616,Risaralda,2023,2601.9,1908.53,2734.01,1.43
17616,Risaralda,2024,2566.64,1770.85,2958.97,1.67
17653,Salamina,2019,2258.0,1766.0,1146.5,0.65
17653,Salamina,2020,2230.0,1721.0,2066.0,1.2
17653,Salamina,2021,2192.33,1716.97,1716.97,1.0
17653,Salamina,2022,2206.02,1771.64,1563.94,0.88
17653,Salamina,2023,2216.19,1792.66,1912.53,1.07
17653,Salamina,2024,2234.82,1753.45,2322.21,1.32
17662,Samaná,2019,2819.0,2348.0,2987.0,1.27
17662,Samaná,2020,2867.0,2430.0,2858.0,1.18
17662,Samaná,2021,2908.49,2464.72,2612.6,1.06
17662,Samaná,2022,2905.23,2432.48,2070.95,0.85
17662,Samaná,2023,2883.15,2437.63,2147.62,0.88
17662,Samaná,2024,2864.99,2371.16,2582.66,1.09
17665,San José,2019,1666.0,1236.0,1647.0,1.33
17665,San José,2020,1639.0,1214.0,1496.0,1.23
17665,San José,2021,1617.17,1164.86,1269.7,1.09
17665,San José,2022,1598.11,1195.9,1318.22,1.1
17665,San José,2023,1586.3,1203.72,1045.8,0.87
17665,San José,2024,1584.6,1143.2,615.51,0.54
17777,Supía,2019,1481.0,1192.0,1544.0,1.3
17777,Supía,2020,1453.0,1173.0,702.0,0.6
17777,Supía,2021,1418.3,1125.29,1125.29,1.0
17777,Supía,2022,1424.72,1149.68,1070.87,0.93
17777,Supía,2023,1371.86,1088.1,977.14,0.9
17777,Supía,2024,1351.45,1048.89,1168.41,1.11
17867,Victoria,2019,104.0,81.0,107.0,1.32
17867,Victoria,2020,98.0,80.0,99.0,1.24
17867,Victoria,2021,86.35,72.57,100.15,1.38
17867,Victoria,2022,94.63,71.22,84.76,1.19
17867,Victoria,2023,97.32,68.98,82.87,1.2
17867,Victoria,2024,103.57,79.7,118.38,1.49
17873,Villamaría,2019,1614.0,1212.0,1553.0,1.28
17873,Villamaría,2020,1550.0,1182.0,700.0,0.59
17873,Villamaría,2021,1510.48,1151.22,1047.61,0.91
17873,Villamaría,2022,1516.26,1192.04,1037.83,0.87
17873,Villamaría,2023,1491.74,1194.51,906.91,0.76
17873,Villamaría,2024,1470.5,1127.44,1102.42,0.98
17877,Viterbo,2019,447.0,351.0,456.0,1.3
17877,Viterbo,2020,441.0,353.0,424.0,1.2
17877,Viterbo,2021,449.69,350.97,477.32,1.36
17877,Viterbo,2022,360.73,265.15,497.98,1.88
17877,Viterbo,2023,350.96,261.1,465.32,1.78
17877,Viterbo,2024,333.99,246.92,544.0,2.2
