municipio,date,anio,mes,precip_mm,precip_mean_mm,precip_max_mm,n_pixeles
Aguadas,2005-01-31,2005,1,114.15275425803537,3.682346911549528,30.293657032033213,27.0
Aguadas,2005-02-28,2005,2,92.36796297601009,3.298855820571789,34.7309149426166,27.0
Aguadas,2005-03-31,2005,3,212.6486888892498,6.859635125459671,30.77239350830866,27.0
Aguadas,2005-04-30,2005,4,222.89033518915267,7.429677839638422,19.72876723836688,27.0
Aguadas,2005-05-31,2005,5,365.4591237012418,11.78900399036264,38.9679031767926,27.0
Aguadas,2005-06-30,2005,6,181.10301689738355,6.036767229912785,16.811892436323696,27.0
Aguadas,2005-07-31,2005,7,117.71154850863167,3.7971467260848923,19.614353352515067,27.0
Aguadas,2005-08-31,2005,8,131.59985682421834,4.245156671748979,17.064085929250748,27.0
Aguadas,2005-09-30,2005,9,179.6898296894951,5.9896609896498365,29.864860286534025,27.0
Aguadas,2005-10-31,2005,10,325.0103350910649,10.484204357776287,37.45677183272415,27.0
Aguadas,2005-11-30,2005,11,258.7799390639211,8.625997968797371,46.49587902145366,27.0
Aguadas,2005-12-31,2005,12,179.98526734926824,5.805976366105427,30.250243760217323,27.0
Aguadas,2006-01-31,2006,1,129.4270577569516,4.175066379256503,22.696618816575587,27.0
Aguadas,2006-02-28,2006,2,102.18337933886235,3.6494064049593695,19.728244056643724,27.0
Aguadas,2006-03-31,2006,3,247.0652711691358,7.969847457068897,25.228899939335985,27.0
Aguadas,2006-04-30,2006,4,261.6757665220558,8.722525550735194,26.88154261180402,27.0
Aguadas,2006-05-31,2006,5,279.75857214057515,9.024470069050812,38.74760493010819,27.0
Aguadas,2006-06-30,2006,6,224.47006887051162,7.482335629017054,28.704286827313325,27.0
Aguadas,2006-07-31,2006,7,110.92983292769976,3.578381707345154,16.1409195456074,27.0
Aguadas,2006-08-31,2006,8,160.4541941389679,5.175941746418319,24.359000555988025,27.0
Aguadas,2006-09-30,2006,9,240.62958718076354,8.020986239358784,20.51157850049713,27.0
Aguadas,2006-10-31,2006,10,317.4972803966211,10.241847754729712,29.118652589952937,27.0
Aguadas,2006-11-30,2006,11,296.6226814122057,9.88742271374019,34.00689809650025,27.0
Aguadas,2006-12-31,2006,12,160.88070080824002,5.189700026072258,26.98709994658613,27.0
Aguadas,2007-01-31,2007,1,98.49657678797227,3.177308928644267,29.709485109773844,27.0
Aguadas,2007-02-28,2007,2,39.41755105736467,1.4077696806201667,15.258982210634814,27.0
Aguadas,2007-03-31,2007,3,245.5792812630063,7.921912298806655,37.92186335218734,27.0
