municipio,date,humedad_suelo_capa1,humedad_suelo_capa2,radiacion_solar_j_m2,viento_u_ms,viento_v_ms,anio,mes,temp_media_c,temp_min_c,temp_max_c,temp_rocio_c,precip_mm,et_potencial_mm,et_real_mm,escorrentia_sup_mm,escorrentia_sub_mm,balance_hidrico_mm,amplitud_termica_c,velocidad_viento_ms,deficit_hidrico_mm,estres_hidrico,ratio_et,humedad_suelo_total,dif_temp_rocio,radiacion,presion_kpa,precip_3m,precip_6m,balance_3m,balance_6m,ndvi_mean
Aguadas,2005-06-01,0.4372240208241541,0.4410108727477616,18348319.04444444,-0.3430140581703613,0.0850226391552541,2005,6,18.6685204248397,14.273983903364694,24.316112810128516,16.525033152330877,13.2571301015763,-8.8152191195925,-3.4958519146586,3.7259393850159,5.9540400435828005,22.0723492211688,10.042128906763821,0.3533942462341804,-22.0723492211688,0,0.3965700981225638,0.8782348935719158,2.143487272508821,18348319.04444444,85.04406963434256,40.7120065921874,66.9088304861001,67.0919503116242,128.1622659126133,0.7622343362205258
Aguadas,2005-07-01,0.4208162527953399,0.4255676374562829,21803351.970869992,-0.4778476425241126,0.0476375257151903,2005,7,19.047602725243962,13.362597886946617,25.161107975328093,15.514664992217206,7.0772151346861,-13.1236872867929,-4.0851126380966,1.4886425928848999,3.3167610233227003,20.200902421479,11.798510088381477,0.48021630888810674,-20.200902421479,0,0.31127783374459944,0.8463838902516228,3.532937733026756,21803351.970869992,85.09497746040292,36.8240993911254,67.5569617237044,67.7480998351035,132.4774715712492,0.7265976983696911
Aguadas,2005-08-01,0.4070237120057312,0.4020453632984926,21073357.840469208,-0.4507126601392054,0.0861873079721296,2005,8,19.217333538187575,13.819740501744377,25.345579650123227,15.549909698198007,7.2508286916867,-13.402170133915,-3.8497485085998,1.0310453287201,1.5892731090755,20.6529988256017,11.52583914837885,0.45887923690797083,-20.6529988256017,0,0.28724816633284966,0.8090690753042238,3.667423839989567,21073357.840469208,85.05973009973093,27.585173927949104,69.9533476327675,62.926250468249506,135.8832636769616,0.6909330399922918
Aguadas,2005-09-01,0.4207134826951288,0.4200459807596089,21512911.156700335,-0.3087855067691953,0.1223086157952896,2005,9,19.621357926305564,14.396772786150109,25.64955601650456,15.723801934084861,9.7476821205699,-14.1191405384026,-4.0065708401791,2.5663965433735,2.1152105721761,23.866822658972502,11.252783230354453,0.33212631134625353,-23.866822658972502,0,0.2837687685769831,0.8407594634547377,3.8975559922207026,21512911.156700335,85.04824578881261,24.075725946942704,64.7877325391301,64.7207239060532,131.8126742176774,0.6907467622459224
Aguadas,2005-10-01,0.4429822587392042,0.4456584238703066,16095502.344947202,0.008001848806371,0.1391877539502016,2005,10,18.178843772575817,14.820583646543753,23.62093300718402,16.381062181741527,18.5318210467615,-6.7469611676557,-2.9332559394024003,6.0054833576223,8.722108931475699,25.2787822144172,8.800349360640269,0.13941757577157152,-25.2787822144172,0,0.4347522241889254,0.8886406826095108,1.7977815908342905,16095502.344947202,85.10134818540962,35.530331859018105,72.3544312501435,69.7986036989914,137.5467035340949,0.5826631109579522
Aguadas,2005-11-01,0.442350607100293,0.4443904002239942,14755276.721212115,0.0863770585322353,0.1717283598180571,2005,11,18.3544082919463,15.047063567806958,22.940331376201073,16.317639366004357,12.5426364362896,-7.6101617166389,-2.7839818084769,3.2262282454806,7.0757953127726,20.1527981529285,7.893267808394114,0.19222805676196514,-20.1527981529285,0,0.36582431201354076,0.8867410073242872,2.036768925941942,14755276.721212115,85.0133686162515,40.822139603621004,68.4073135315701,69.2984030263182,132.2246534945677,0.7249969480586013
Aguadas,2005-12-01,0.4404586926233733,0.4429648360095661,16266585.72512219,-0.1454155749887264,0.0195674775153531,2005,12,18.184838423196084,14.577462034700943,22.997146262886417,16.12555236866126,12.4440845613711,-8.1383585337514,-2.9556401442941,3.4573354531029,6.6513638534367,20.5824430951225,8.419684228185474,0.14672619270469658,-20.5824430951225,0,0.3631740350600803,0.8834235286329394,2.059286054534823,16266585.72512219,85.02567235849759,43.518542044422205,67.5942679913649,66.0140234624682,130.7347473685214,0.7176808229335133
Aguadas,2006-01-01,0.4311034901232494,0.4315163987434116,16931660.163506027,-0.2956447905666524,0.0509324173902965,2006,1,18.321508180417993,14.34384892806429,23.400803782692094,15.949302213604028,7.010603031634,-9.3768935129847,-3.1017997348544,1.200939851102,3.3674228879382997,16.3874965446187,9.056954854627804,0.2999999222173551,-16.3874965446187,0,0.3307918620757534,0.862619888866661,2.372205966813965,16931660.163506027,84.98670199715357,31.997324029294703,67.5276558883128,57.122737792669696,126.9213414916611,0.7201552591105542
Aguadas,2006-02-01,0.4165301921334388,0.4144153196803649,19316858.23621934,-0.4063990329595183,-0.0098839457502956,2006,2,19.389214545227503,14.920844834122647,24.843462548524258,16.248532008528514,8.2222006644855,-12.064018261499301,-3.4093858481990003,1.9591578810568,3.6062267650601,20.2862189259848,9.92261771440161,0.4065192078783319,-20.2862189259848,0,0.28260783902221354,0.8309455118138036,3.1406825366989892,19316858.23621934,84.99237640570512,27.676888257490607,68.4990278611116,57.256158565726,126.5545615920442,0.7491002577927912
Aguadas,2006-03-01,0.4413218540387626,0.4419268849748761,16741751.916487962,-0.3616210864345608,0.0437375421747783,2006,3,18.377460727461653,14.092773525999974,24.086039126816672,16.442758831149717,17.732644301738002,-8.2175484396281,-3.0595696905707,5.598424628508,7.0648769209869,25.950192741366102,9.993265600816699,0.36425647935157257,-25.950192741366102,0,0.3723215123549279,0.8832487390136388,1.9347018963119353,16741751.916487962,85.03898172686839,32.96544799785751,76.4839900422797,62.623908211969606,128.6379316744378,0.6227666268448097
Aguadas,2006-04-01,0.4422759019485628,0.445768996259045,15647897.196902355,-0.1996073782537655,0.1135676443563433,2006,4,18.375264684075603,14.442576216367002,23.782410387752066,16.58752718813082,18.4885715896703,-7.1095570234537,-2.9245144343599,5.9507441056597,9.201294084390002,25.598128613124,9.339834171385064,0.22965346785535526,-25.598128613124,0,0.41134979803411426,0.8880448982076078,1.787737495944782,15647897.196902355,85.02715202162686,44.443416555893805,76.44074058518851,71.8345402804749,128.9572780731446,0.5194642696491188
Aguadas,2006-05-01,0.439598328259036,0.4425457265279419,18108228.862300426,-0.3090073548428099,0.0584886938401486,2006,5,18.68563062221,14.424246348570307,24.22875052234872,16.536478159069475,16.8357899858417,-8.821655263406202,-3.3677060556719,5.2081225972177,9.3344313871514,25.6574452492479,9.804504173778412,0.314493994623231,-25.6574452492479,0,0.38175448222242697,0.8821440547869779,2.149152463140524,18108228.862300426,85.09202109399396,53.057005877250006,80.73389413474061,77.205766603738,134.461925169464,0.7171705291404739
Aguadas,2006-06-01,0.4258493796154839,0.4293101551128692,19227210.72195286,-0.367904824482739,0.0435866809346191,2006,6,18.665318525637588,13.87805255157781,24.37785598241112,15.916128475947062,12.8872040861213,-10.3696342349453,-3.5880751989040998,4.7230196071895,6.5592764448437,23.256838321066603,10.49980343083331,0.3704777437749416,-23.256838321066603,0,0.3460175608537833,0.8551595347283532,2.749190049690526,19227210.72195286,85.08108771472317,48.2115656616333,81.17701365949081,74.5124121834385,137.13632039540812,0.7624150730786725
Aguadas,2006-07-01,0.3776543029423864,0.3711871355250874,19239125.735092867,-0.3724984812557832,0.0663222817601916,2006,7,19.481212171063817,14.034735168576333,25.160214543645623,15.062810581738006,5.2032732561539,-14.184770199997299,-3.637115440294,0.6599745957460649,1.3227386500245002,19.3880434561512,11.12547937506929,0.3783566618889422,-19.3880434561512,0,0.25640991326772467,0.7488414384674738,4.418401589325811,19239125.735092867,85.08528014898863,34.92626732811691,79.3696838840107,68.3023270264657,140.13686730694062,0.7315060072805966
Aguadas,2006-08-01,0.3974530694123988,0.3939243295519777,22206905.20149886,-0.4243554066379074,0.0544135396820048,2006,8,19.796633231265616,14.078607657523605,26.37793286305839,14.901985730489969,7.0173430404546,-16.52544425341,-4.1731311637712,1.1306074906459,1.0099473467922,23.5427872938646,12.299325205534785,0.42782980780159396,-23.5427872938646,0,0.25252763873126854,0.7913773989643764,4.894647500775648,22206905.20149886,85.02325049463468,25.107820382729805,78.1648262599798,66.1876690710824,143.3934356748204,0.716391028025853
